model_id,threshold,mean_f1,micro_f1,mean_precision,mean_recall,mean_false_contact_rate,mean_long_range_contact_recall,mean_short_range_contact_recall,per_row_f1_std,predicted_contact_count,native_contact_count,true_positive_contacts
current_scalar_score,0.0,0.092076,0.061271,0.048921,1.0,0.951079,1.0,1.0,0.047475,94546,2988,2988
current_scalar_score,0.01,0.103663,0.079478,0.066146,0.311185,0.933854,0.332597,0.271592,0.039456,21673,2988,980
current_scalar_score,0.02,0.103663,0.079478,0.066146,0.311185,0.933854,0.332597,0.271592,0.039456,21673,2988,980
current_scalar_score,0.03,0.103663,0.079478,0.066146,0.311185,0.933854,0.332597,0.271592,0.039456,21673,2988,980
current_scalar_score,0.04,0.103663,0.079478,0.066146,0.311185,0.933854,0.332597,0.271592,0.039456,21673,2988,980
current_scalar_score,0.05,0.103663,0.079478,0.066146,0.311185,0.933854,0.332597,0.271592,0.039456,21673,2988,980
current_scalar_score,0.06,0.103663,0.079478,0.066146,0.311185,0.933854,0.332597,0.271592,0.039456,21673,2988,980
current_scalar_score,0.07,0.103663,0.079478,0.066146,0.311185,0.933854,0.332597,0.271592,0.039456,21673,2988,980
current_scalar_score,0.08,0.103663,0.079478,0.066146,0.311185,0.933854,0.332597,0.271592,0.039456,21673,2988,980
current_scalar_score,0.09,0.103663,0.079478,0.066146,0.311185,0.933854,0.332597,0.271592,0.039456,21673,2988,980
current_scalar_score,0.1,0.103663,0.079478,0.066146,0.311185,0.933854,0.332597,0.271592,0.039456,21673,2988,980
current_scalar_score,0.11,0.103663,0.079478,0.066146,0.311185,0.933854,0.332597,0.271592,0.039456,21673,2988,980
current_scalar_score,0.12,0.103663,0.079478,0.066146,0.311185,0.933854,0.332597,0.271592,0.039456,21673,2988,980
current_scalar_score,0.13,0.103663,0.079478,0.066146,0.311185,0.933854,0.332597,0.271592,0.039456,21673,2988,980
current_scalar_score,0.14,0.103663,0.079478,0.066146,0.311185,0.933854,0.332597,0.271592,0.039456,21673,2988,980
current_scalar_score,0.15,0.103663,0.079478,0.066146,0.311185,0.933854,0.332597,0.271592,0.039456,21673,2988,980
current_scalar_score,0.16,0.106015,0.083337,0.067682,0.309654,0.932318,0.327635,0.271592,0.038007,20363,2988,973
current_scalar_score,0.17,0.103901,0.08294,0.066564,0.301992,0.933436,0.327635,0.260489,0.034706,20113,2988,958
current_scalar_score,0.18,0.103901,0.08294,0.066564,0.301992,0.933436,0.327635,0.260489,0.034706,20113,2988,958
current_scalar_score,0.19,0.103901,0.08294,0.066564,0.301992,0.933436,0.327635,0.260489,0.034706,20113,2988,958
current_scalar_score,0.2,0.103901,0.08294,0.066564,0.301992,0.933436,0.327635,0.260489,0.034706,20113,2988,958
current_scalar_score,0.21,0.112661,0.091311,0.075002,0.289708,0.924998,0.307461,0.257219,0.034374,17360,2988,929
current_scalar_score,0.22,0.112661,0.091311,0.075002,0.289708,0.924998,0.307461,0.257219,0.034374,17360,2988,929
current_scalar_score,0.23,0.112661,0.091311,0.075002,0.289708,0.924998,0.307461,0.257219,0.034374,17360,2988,929
current_scalar_score,0.24,0.112661,0.091311,0.075002,0.289708,0.924998,0.307461,0.257219,0.034374,17360,2988,929
current_scalar_score,0.25,0.112661,0.091311,0.075002,0.289708,0.924998,0.307461,0.257219,0.034374,17360,2988,929
current_scalar_score,0.26,0.119294,0.1035,0.079862,0.28069,0.920138,0.276397,0.257219,0.029633,14268,2988,893
current_scalar_score,0.27,0.119294,0.1035,0.079862,0.28069,0.920138,0.276397,0.257219,0.029633,14268,2988,893
current_scalar_score,0.28,0.119294,0.1035,0.079862,0.28069,0.920138,0.276397,0.257219,0.029633,14268,2988,893
current_scalar_score,0.29,0.119294,0.1035,0.079862,0.28069,0.920138,0.276397,0.257219,0.029633,14268,2988,893
current_scalar_score,0.3,0.119294,0.1035,0.079862,0.28069,0.920138,0.276397,0.257219,0.029633,14268,2988,893
current_scalar_score,0.31,0.130432,0.118834,0.093981,0.235246,0.906019,0.16183,0.257219,0.030144,9500,2988,742
current_scalar_score,0.32,0.130432,0.118834,0.093981,0.235246,0.906019,0.16183,0.257219,0.030144,9500,2988,742
