selector_name,selected_event_count,false_nucleus_rate,contact_cluster_precision,long_range_contact_recall,coupling_constraint_recall,real_vs_decoy_coupling_enrichment_ratio,real_beats_decoy_coupling_score_rate,mean_selected_coupling_selectivity_score,mean_decoy_coupling_selectivity_score,mean_coupling_decoy_selectivity_margin,mean_coupling_nucleus_score,mean_decoy_coupling_nucleus_score,mean_coupling_nucleus_decoy_margin,real_vs_decoy_coupling_nucleus_enrichment_ratio,real_beats_decoy_coupling_nucleus_score_rate,survives_targets,coordinate_truth_used_to_build_constraints,native_truth_used_before_coupling_selection,raw_sequence_exposed,control_name,control_kind,constraint_count,negative_control
external_real,92,0.394393,0.081895,0.319807,0.390916,1.430899,0.869565,0.433423,0.302903,0.13052,0.447304,0.3334,0.113904,1.341644,0.815217,False,False,False,False,external_real,external_real,1139,False
external_margin_gated,77,0.370991,0.090087,0.307749,0.355477,1.521897,1.0,0.449506,0.295359,0.154147,0.459664,0.325001,0.134663,1.414346,0.883117,False,False,False,False,external_margin_gated,external_real_margin_gated,1139,False
external_top_rank_gated,30,0.066667,0.135189,0.245304,0.252362,1.691466,0.966667,0.623556,0.368648,0.254908,0.565716,0.347609,0.218107,1.627449,0.933333,False,False,False,False,external_top_rank_gated,external_real_top_rank_gated,1139,False
external_core_expanded,29,0.025,0.148535,0.254325,0.226991,1.694803,0.965517,0.609167,0.359432,0.249735,0.557765,0.345348,0.212417,1.615081,0.931034,False,False,False,False,external_core_expanded,external_real_core_expanded,1139,False
external_cluster_gated_core_expanded,26,0.0,0.156836,0.250853,0.210894,1.66086,0.961538,0.610612,0.367648,0.242964,0.561289,0.35761,0.203679,1.569556,0.923077,False,False,False,False,external_cluster_gated_core_expanded,external_real_cluster_gated_core_expanded,1139,False
external_rank_consistent_cluster_gated,25,0.0,0.151302,0.227622,0.201172,1.716924,1.0,0.607143,0.353622,0.253521,0.560653,0.349739,0.210914,1.603061,0.92,False,False,False,False,external_rank_consistent_cluster_gated,external_real_rank_consistent_cluster_gated,1139,False
external_persistent_rank_consistent_cluster_gated,26,0.0,0.156836,0.250853,0.210894,1.66086,0.961538,0.610612,0.367648,0.242964,0.561289,0.35761,0.203679,1.569556,0.923077,False,False,False,False,external_persistent_rank_consistent_cluster_gated,external_real_persistent_rank_consistent_cluster_gated,1139,False
external_score_margin_expanded,28,0.0,0.168945,0.27141,0.215099,1.663922,0.964286,0.595581,0.357938,0.237643,0.558802,0.356305,0.202497,1.568325,0.928571,False,False,False,False,external_score_margin_expanded,external_real_score_margin_expanded,1139,False
external_boundary_continuity_expanded,30,0.0,0.163574,0.278559,0.231327,1.667264,0.966667,0.594745,0.356719,0.238026,0.554821,0.352526,0.202295,1.573844,0.933333,False,False,False,False,external_boundary_continuity_expanded,external_real_boundary_continuity_expanded,1139,False
external_edge_continuity_expanded,32,0.0,0.161621,0.288976,0.238084,1.648074,0.96875,0.58215,0.35323,0.22892,0.547521,0.350786,0.196735,1.560841,0.9375,False,False,False,False,external_edge_continuity_expanded,external_real_edge_continuity_expanded,1139,False
external_pressure_release_expanded,33,0.0,0.163574,0.30444,0.240535,1.639641,0.969697,0.578097,0.352575,0.225522,0.544236,0.349036,0.1952,1.559255,0.939394,False,False,False,False,external_pressure_release_expanded,external_real_pressure_release_expanded,1139,False
external_registry_extension_expanded,36,0.0,0.155002,0.309566,0.244583,1.604858,0.916667,0.557388,0.347313,0.210075,0.535639,0.354932,0.180707,1.509131,0.944444,False,False,False,False,external_registry_extension_expanded,external_real_registry_extension_expanded,1139,False
external_terminal_bridge_expanded,37,0.0,0.152561,0.312157,0.246336,1.600021,0.918919,0.549664,0.343536,0.206128,0.529736,0.354081,0.175655,1.496087,0.918919,False,False,False,False,external_terminal_bridge_expanded,external_real_terminal_bridge_expanded,1139,False
external_boundary_field_replacement_probe,37,0.0,0.155002,0.288926,0.252189,1.606009,0.945946,0.555447,0.345855,0.209592,0.534819,0.358158,0.176661,1.493249,0.918919,False,False,False,False,external_boundary_field_replacement_probe,external_real_boundary_field_replacement_probe,1139,False
physical_no_coupling_baseline,320,0.559375,0.050488,0.405008,0.355443,0.868703,0.43125,0.322695,0.371467,-0.048772,0.375579,0.353601,0.021978,1.062155,0.66875,False,False,False,False,physical_no_coupling_baseline,physical_no_coupling_baseline,1139,False
external_shuffled_same_row_same_separation,106,0.567485,0.047154,0.181428,0.312573,1.221528,0.745283,0.357961,0.293044,0.064917,0.382629,0.323819,0.05881,1.181614,0.735849,False,False,False,False,external_shuffled_same_row_same_separation,external_coupling_negative_controls_v0,1139,True
external_confidence_permuted,90,0.426643,0.080109,0.31868,0.375153,1.389442,0.811111,0.431794,0.310768,0.121026,0.445874,0.336701,0.109173,1.324243,0.8,False,False,False,False,external_confidence_permuted,external_coupling_negative_controls_v0,1139,True
external_cross_row_swapped,66,0.552042,0.046348,0.13095,0.238485,1.33951,0.893939,0.370628,0.276689,0.093939,0.384253,0.297266,0.086987,1.292623,0.818182,False,False,False,False,external_cross_row_swapped,external_coupling_negative_controls_v0,1139,True
external_random_long_range_same_count,91,0.534596,0.050693,0.328975,0.362545,1.143193,0.681319,0.43105,0.377058,0.053992,0.430591,0.381042,0.049549,1.130036,0.681319,False,False,False,False,external_random_long_range_same_count,external_coupling_negative_controls_v0,1139,True
external_low_confidence_tail,94,0.371149,0.078995,0.354017,0.401969,1.177331,0.819149,0.296562,0.251894,0.044668,0.358538,0.304142,0.054396,1.178851,0.787234,False,False,False,False,external_low_confidence_tail,external_coupling_negative_controls_v0,1139,True
external_margin_gated_external_shuffled_same_row_same_separation,75,0.607692,0.035718,0.100446,0.2364,1.42965,1.0,0.374379,0.261868,0.112511,0.402815,0.306246,0.096569,1.315331,0.88,False,False,False,False,external_margin_gated_external_shuffled_same_row_same_separation,external_coupling_negative_controls_v0,1139,True
external_margin_gated_external_confidence_permuted,74,0.402406,0.087056,0.283552,0.337661,1.554303,1.0,0.455179,0.292851,0.162328,0.466105,0.32449,0.141615,1.436423,0.878378,False,False,False,False,external_margin_gated_external_confidence_permuted,external_coupling_negative_controls_v0,1139,True
external_margin_gated_external_cross_row_swapped,43,0.474432,0.049346,0.090798,0.159077,1.488752,1.0,0.372986,0.250536,0.12245,0.398634,0.295389,0.103245,1.349522,0.837209,False,False,False,False,external_margin_gated_external_cross_row_swapped,external_coupling_negative_controls_v0,1139,True
