selector_name,selected_event_count,false_nucleus_rate,contact_cluster_precision,long_range_contact_recall,coupling_constraint_recall,real_vs_decoy_coupling_enrichment_ratio,real_beats_decoy_coupling_score_rate,mean_selected_coupling_selectivity_score,mean_decoy_coupling_selectivity_score,mean_coupling_decoy_selectivity_margin,mean_coupling_nucleus_score,mean_decoy_coupling_nucleus_score,mean_coupling_nucleus_decoy_margin,real_vs_decoy_coupling_nucleus_enrichment_ratio,real_beats_decoy_coupling_nucleus_score_rate,survives_targets,coordinate_truth_used_to_build_constraints,native_truth_used_before_coupling_selection,raw_sequence_exposed
external_real,90,0.393519,0.081827,0.311895,0.387868,1.43008,0.877778,0.432446,0.302393,0.130053,0.447039,0.333244,0.113795,1.341477,0.833333,False,False,False,False
external_margin_gated,77,0.370991,0.091454,0.318825,0.355477,1.512965,1.0,0.442782,0.292658,0.150124,0.454617,0.322738,0.131879,1.408626,0.896104,False,False,False,False
external_top_rank_gated,30,0.066667,0.138607,0.25638,0.252362,1.680877,0.966667,0.610443,0.363169,0.247274,0.555525,0.342614,0.212911,1.621431,0.966667,False,False,False,False
external_core_expanded,29,0.025,0.151953,0.265401,0.226991,1.683611,0.965517,0.595603,0.353765,0.241838,0.547223,0.340181,0.207042,1.608623,0.965517,False,False,False,False
external_cluster_gated_core_expanded,26,0.0,0.160254,0.261929,0.210894,1.648043,0.961538,0.595482,0.361327,0.234155,0.549531,0.351847,0.197684,1.561846,0.961538,False,False,False,False
external_rank_consistent_cluster_gated,25,0.0,0.15472,0.238698,0.201172,1.704109,1.0,0.591408,0.347048,0.24436,0.548423,0.343746,0.204677,1.595431,0.96,False,False,False,False
external_persistent_rank_consistent_cluster_gated,26,0.0,0.160254,0.261929,0.210894,1.648043,0.961538,0.595482,0.361327,0.234155,0.549531,0.351847,0.197684,1.561846,0.961538,False,False,False,False
external_score_margin_expanded,28,0.0,0.172363,0.282486,0.215099,1.651759,0.964286,0.581531,0.352068,0.229463,0.547883,0.350954,0.196929,1.561125,0.964286,False,False,False,False
external_boundary_continuity_expanded,30,0.0,0.166992,0.289635,0.231327,1.655937,0.966667,0.581632,0.35124,0.230392,0.54463,0.347532,0.197098,1.567136,0.966667,False,False,False,False
external_edge_continuity_expanded,32,0.0,0.165039,0.300052,0.238084,1.637076,0.96875,0.569857,0.348094,0.221763,0.537967,0.346104,0.191863,1.554351,0.96875,False,False,False,False
external_pressure_release_expanded,33,0.0,0.166992,0.315516,0.240535,1.62884,0.969697,0.566176,0.347595,0.218581,0.534972,0.344496,0.190476,1.552912,0.969697,False,False,False,False
external_registry_extension_expanded,36,0.0,0.15842,0.320642,0.244583,1.594354,0.916667,0.546461,0.342748,0.203713,0.527146,0.35077,0.176376,1.502825,0.972222,False,False,False,False
external_terminal_bridge_expanded,37,0.0,0.155979,0.323233,0.246336,1.589627,0.918919,0.539032,0.339094,0.199938,0.521473,0.350032,0.171441,1.489787,0.945946,False,False,False,False
external_boundary_field_replacement_probe,37,0.0,0.167806,0.350282,0.229113,1.525791,0.810811,0.522383,0.342369,0.180014,0.506788,0.351047,0.155741,1.443647,0.891892,True,False,False,False
external_macro_scale_future_preserved,28,0.0,0.043505,0.564435,0.356468,1.271817,0.785714,0.758531,0.596415,0.162116,0.651883,0.50773,0.144153,1.283917,0.785714,False,False,False,False
external_multiscale_future_preserved,114,0.0,0.03814,0.745269,0.616304,0.0,0.0,0.812691,0.0,0.812691,0.688783,0.0,0.688783,0.0,0.0,False,False,False,False
physical_no_coupling_baseline,320,0.559375,0.050488,0.405008,0.355443,0.866021,0.43125,0.321549,0.371294,-0.049745,0.374926,0.353828,0.021098,1.059628,0.66875,False,False,False,False
external_shuffled_same_row_same_separation,109,0.548004,0.049956,0.209909,0.319003,1.21342,0.752294,0.354881,0.292463,0.062418,0.380996,0.3273,0.053696,1.164057,0.724771,False,False,False,False
external_confidence_permuted,90,0.426643,0.080109,0.31868,0.375153,1.381501,0.811111,0.423126,0.30628,0.116846,0.440268,0.333977,0.106291,1.318258,0.8,False,False,False,False
external_cross_row_swapped,63,0.565503,0.047205,0.133527,0.235418,1.321822,0.873016,0.375325,0.283945,0.09138,0.387589,0.298893,0.088696,1.296748,0.84127,False,False,False,False
external_random_long_range_same_count,90,0.50808,0.053845,0.347962,0.365248,1.147599,0.7,0.429108,0.373918,0.05519,0.431851,0.378772,0.053079,1.140134,0.7,False,False,False,False
external_low_confidence_tail,94,0.371149,0.078995,0.354017,0.401969,1.176821,0.829787,0.296254,0.251741,0.044513,0.358483,0.303848,0.054635,1.17981,0.797872,False,False,False,False
external_margin_gated_external_shuffled_same_row_same_separation,74,0.577137,0.040362,0.128927,0.238162,1.435101,1.0,0.376339,0.262238,0.114101,0.404944,0.309649,0.095295,1.307752,0.864865,False,False,False,False
external_margin_gated_external_confidence_permuted,73,0.397718,0.087357,0.283552,0.336816,1.544549,1.0,0.447617,0.289804,0.157813,0.461462,0.322301,0.139161,1.431773,0.876712,False,False,False,False
external_margin_gated_external_cross_row_swapped,41,0.495265,0.04959,0.088221,0.160611,1.436672,1.0,0.375088,0.261081,0.114007,0.394171,0.297278,0.096893,1.325934,0.853659,False,False,False,False
external_margin_gated_external_random_long_range_same_count,69,0.597348,0.05026,0.263974,0.324071,1.319799,0.985507,0.453615,0.3437,0.109915,0.45256,0.360075,0.092485,1.256849,0.826087,False,False,False,False
external_margin_gated_external_low_confidence_tail,78,0.371859,0.08732,0.330375,0.359206,1.206955,1.0,0.299552,0.248188,0.051364,0.357583,0.298367,0.059216,1.198467,0.846154,False,False,False,False
external_top_rank_gated_external_shuffled_same_row_same_separation,26,0.3875,0.064388,0.097746,0.134954,1.654983,1.0,0.492422,0.297539,0.194883,0.464585,0.307237,0.157348,1.512139,1.0,False,False,False,False
external_top_rank_gated_external_confidence_permuted,30,0.145833,0.100911,0.208298,0.236114,1.66459,1.0,0.603928,0.362809,0.241119,0.545589,0.345505,0.200084,1.579106,0.966667,False,False,False,False
external_top_rank_gated_external_cross_row_swapped,19,0.322917,0.054036,0.012075,0.133381,1.35864,1.0,0.575762,0.423778,0.151984,0.49555,0.351421,0.144129,1.410132,0.894737,False,False,False,False
external_top_rank_gated_external_random_long_range_same_count,28,0.464583,0.060937,0.153601,0.223797,1.314267,0.857143,0.599739,0.45633,0.143409,0.536719,0.4141,0.122619,1.29611,0.821429,False,False,False,False
external_top_rank_gated_external_low_confidence_tail,30,0.145833,0.12793,0.203423,0.241436,1.273,0.933333,0.341874,0.268558,0.073316,0.373495,0.30059,0.072905,1.24254,0.866667,False,False,False,False
external_core_expanded_external_shuffled_same_row_same_separation,25,0.408333,0.061133,0.090002,0.125123,1.610719,1.0,0.481762,0.299098,0.182664,0.460642,0.313445,0.147197,1.46961,1.0,False,False,False,False
external_core_expanded_external_confidence_permuted,30,0.145833,0.100911,0.208298,0.236114,1.66459,1.0,0.603928,0.362809,0.241119,0.545589,0.345505,0.200084,1.579106,0.966667,False,False,False,False
external_core_expanded_external_cross_row_swapped,17,0.322917,0.046224,0.012075,0.121183,1.428862,0.941176,0.57484,0.402306,0.172534,0.484745,0.344907,0.139838,1.405437,0.764706,False,False,False,False
external_core_expanded_external_random_long_range_same_count,28,0.464583,0.060937,0.153601,0.221679,1.320162,0.892857,0.597342,0.452476,0.144866,0.530795,0.419761,0.111034,1.264517,0.821429,False,False,False,False
external_core_expanded_external_low_confidence_tail,29,0.104167,0.141276,0.212443,0.216065,1.255218,0.931034,0.334622,0.266585,0.068037,0.369978,0.302117,0.067861,1.224618,0.827586,False,False,False,False
external_cluster_gated_core_expanded_external_shuffled_same_row_same_separation,24,0.345833,0.071875,0.090002,0.106604,1.676513,1.0,0.465352,0.277571,0.187781,0.456691,0.306374,0.150317,1.490632,1.0,False,False,False,False
external_cluster_gated_core_expanded_external_confidence_permuted,24,0.108333,0.11569,0.164014,0.184563,1.682312,1.0,0.590616,0.351074,0.239542,0.552965,0.354991,0.197974,1.557687,0.958333,False,False,False,False
external_cluster_gated_core_expanded_external_cross_row_swapped,13,0.291667,0.077474,0.003225,0.096344,1.474699,0.923077,0.612742,0.415503,0.197239,0.527468,0.369119,0.158349,1.428992,0.769231,False,False,False,False
external_cluster_gated_core_expanded_external_random_long_range_same_count,25,0.458333,0.065104,0.152495,0.199728,1.319471,0.88,0.585032,0.443384,0.141648,0.533979,0.426429,0.10755,1.252211,0.84,False,False,False,False
external_cluster_gated_core_expanded_external_low_confidence_tail,27,0.104167,0.144792,0.208971,0.206913,1.245169,0.925926,0.338899,0.272171,0.066728,0.375243,0.308441,0.066802,1.21658,0.814815,False,False,False,False
external_rank_consistent_cluster_gated_external_shuffled_same_row_same_separation,23,0.366667,0.069271,0.090002,0.104053,1.682516,1.0,0.467104,0.277622,0.189482,0.459056,0.309768,0.149288,1.481935,1.0,False,False,False,False
external_rank_consistent_cluster_gated_external_confidence_permuted,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
external_rank_consistent_cluster_gated_external_cross_row_swapped,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
external_rank_consistent_cluster_gated_external_random_long_range_same_count,23,0.458333,0.065104,0.152495,0.187043,1.313144,0.869565,0.584705,0.445271,0.139434,0.539776,0.431346,0.10843,1.251376,0.826087,False,False,False,False
external_rank_consistent_cluster_gated_external_low_confidence_tail,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
external_rank_consistent_cluster_gated_external_calibrated_confidence_permuted,16,0.129167,0.066211,0.09695,0.119993,1.656957,1.0,0.598546,0.361232,0.237314,0.563861,0.3728,0.191061,1.512503,1.0,False,False,False,False
external_rank_consistent_cluster_gated_external_calibrated_cross_row_swapped,1,0.125,0.0,0.0,0.007353,2.168011,1.0,0.676389,0.311986,0.364403,0.584779,0.288575,0.296204,2.026437,1.0,False,False,False,False
external_persistent_rank_consistent_cluster_gated_external_shuffled_same_row_same_separation,23,0.366667,0.069271,0.090002,0.104053,1.682516,1.0,0.467104,0.277622,0.189482,0.459056,0.309768,0.149288,1.481935,1.0,False,False,False,False
external_persistent_rank_consistent_cluster_gated_external_confidence_permuted,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
external_persistent_rank_consistent_cluster_gated_external_cross_row_swapped,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
external_persistent_rank_consistent_cluster_gated_external_random_long_range_same_count,23,0.458333,0.065104,0.152495,0.187043,1.313144,0.869565,0.584705,0.445271,0.139434,0.539776,0.431346,0.10843,1.251376,0.826087,False,False,False,False
external_persistent_rank_consistent_cluster_gated_external_low_confidence_tail,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
external_persistent_rank_consistent_cluster_gated_external_calibrated_confidence_permuted,16,0.129167,0.066211,0.09695,0.119993,1.656957,1.0,0.598546,0.361232,0.237314,0.563861,0.3728,0.191061,1.512503,1.0,False,False,False,False
external_persistent_rank_consistent_cluster_gated_external_calibrated_cross_row_swapped,1,0.125,0.0,0.0,0.007353,2.168011,1.0,0.676389,0.311986,0.364403,0.584779,0.288575,0.296204,2.026437,1.0,False,False,False,False
external_score_margin_expanded_external_shuffled_same_row_same_separation,23,0.366667,0.069271,0.090002,0.104053,1.682516,1.0,0.467104,0.277622,0.189482,0.459056,0.309768,0.149288,1.481935,1.0,False,False,False,False
external_score_margin_expanded_external_confidence_permuted,2,0.0625,0.021484,0.014249,0.002921,2.463891,1.0,0.357295,0.145012,0.212283,0.475002,0.22846,0.246542,2.079147,1.0,False,False,False,False
external_score_margin_expanded_external_cross_row_swapped,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
external_score_margin_expanded_external_random_long_range_same_count,23,0.458333,0.065104,0.152495,0.187043,1.313144,0.869565,0.584705,0.445271,0.139434,0.539776,0.431346,0.10843,1.251376,0.826087,False,False,False,False
