protein_id,predicted_class,raw_predicted_class,structure_derived_class,evidence_conflict_score,confidence,uncertainty_radius,claim_strength,forced_prediction,abstained,dominant_features,conflicting_features
pdb_1MBN_A_myoglobin,insufficient_topology_evidence,alpha_beta_mixed,alpha_rich,0.99444,0.102321,0.817201,weak,False,True,local_alpha_pressure_evidence;mixed_motif_evidence;long_range_closure_evidence,compact_core_evidence;beta_alternation_evidence;local_beta_pressure_evidence;alpha_periodicity_evidence
pdb_2LZM_A_t4_lysozyme,insufficient_topology_evidence,alpha_beta_mixed,alpha_rich,0.914404,0.18713,0.766624,weak,False,True,mixed_motif_evidence;compact_core_evidence;local_alpha_pressure_evidence,long_range_closure_evidence;beta_alternation_evidence;local_beta_pressure_evidence;alpha_periodicity_evidence
pdb_1TEN_A_tenascin_fn3,beta_rich,beta_rich,beta_rich,0.714671,0.321124,0.655937,weak,True,False,beta_alternation_evidence;local_beta_pressure_evidence;long_range_closure_evidence,mixed_motif_evidence;compact_core_evidence;local_disorder_pressure_evidence;breaker_turn_evidence
pdb_1CSP_A_cold_shock_protein,insufficient_topology_evidence,beta_rich,beta_rich,0.844748,0.19313,0.736168,weak,False,True,local_disorder_pressure_evidence;long_range_closure_evidence;beta_alternation_evidence,local_beta_pressure_evidence;compact_core_evidence;breaker_turn_evidence;mixed_motif_evidence
pdb_1TIM_A_triosephosphate_isomerase,insufficient_topology_evidence,multidomain_boundary,alpha_beta_mixed,0.95725,0.120077,0.79803,weak,False,True,mixed_motif_evidence;compact_core_evidence;long_range_closure_evidence,domain_boundary_evidence;local_alpha_pressure_evidence;beta_alternation_evidence;breaker_turn_evidence
pdb_1PGA_A_protein_g_b1,insufficient_topology_evidence,beta_rich,alpha_beta_mixed,0.903373,0.209359,0.757545,weak,False,True,long_range_closure_evidence;local_beta_pressure_evidence;mixed_motif_evidence,compact_core_evidence;beta_alternation_evidence;local_alpha_pressure_evidence;alpha_periodicity_evidence
pdb_4AKE_A_adenylate_kinase,insufficient_topology_evidence,beta_rich,alpha_beta_mixed,0.962399,0.110007,0.802206,weak,False,True,beta_alternation_evidence;mixed_motif_evidence;local_alpha_pressure_evidence,compact_core_evidence;long_range_closure_evidence;breaker_turn_evidence;local_beta_pressure_evidence
pdb_1CLL_A_calmodulin,insufficient_topology_evidence,alpha_beta_mixed,multidomain_boundary,0.950644,0.135135,0.792243,weak,False,True,mixed_motif_evidence;local_alpha_pressure_evidence;compact_core_evidence,long_range_closure_evidence;beta_alternation_evidence;local_beta_pressure_evidence;alpha_periodicity_evidence
disprot_DP00070_alpha_synuclein,insufficient_topology_evidence,beta_rich,disordered_flexible,0.986851,0.076428,0.819192,weak,False,True,local_disorder_pressure_evidence;breaker_turn_evidence;local_alpha_pressure_evidence,long_range_closure_evidence;mixed_motif_evidence;compact_core_evidence;beta_alternation_evidence
disprot_DP03552_fetal_tau,multidomain_boundary,multidomain_boundary,disordered_flexible,0.721756,0.339348,0.655268,weak,True,False,local_disorder_pressure_evidence;breaker_turn_evidence;domain_boundary_evidence,long_range_closure_evidence;beta_alternation_evidence
