protein_id,sequence_length,axis_signature_kind,protein_regime,predicted_fold_class,structure_fold_class,label_fold_class,confidence,forced_prediction,abstained,single_class_label_structure_disagreement,orthogonal_axis_disagreement,structure_label_same_axis_conflict,structure_label_same_axis_conflict_axes,true_same_axis_conflict,same_axis_conflict_axes,axis_conflict_axes,axis_unscorable_count,high_confidence_wrong_after_axis_scoring,taxonomy_collapse_reason,folding_problem_solved,folding_solution_claim_created,predicted_secondary_structure_axis,structure_secondary_structure_axis,label_secondary_structure_axis,adjudicated_truth_secondary_structure_axis,secondary_structure_axis_scorable,secondary_structure_axis_match,predicted_architecture_axis,structure_architecture_axis,label_architecture_axis,adjudicated_truth_architecture_axis,architecture_axis_scorable,architecture_axis_match,predicted_order_axis,structure_order_axis,label_order_axis,adjudicated_truth_order_axis,order_axis_scorable,order_axis_match,predicted_environment_axis,structure_environment_axis,label_environment_axis,adjudicated_truth_environment_axis,environment_axis_scorable,environment_axis_match,manual_review_required,manual_review_reasons
pdb_1MBN_A_myoglobin,153,orthogonal_fold_axis_projection,compact_single_domain,alpha_rich,alpha_rich,alpha_rich,0.5991,True,False,False,False,False,,False,,,1,False,,False,False,alpha_rich,alpha_rich,alpha_rich,alpha_rich,True,True,compact_single_domain,compact_single_domain,unknown,compact_single_domain,True,True,ordered,ordered,ordered,ordered,True,True,soluble_like,unknown,unknown,unknown,False,False,False,
pdb_2LZM_A_t4_lysozyme,164,orthogonal_fold_axis_projection,compact_single_domain,alpha_rich,alpha_rich,alpha_rich,0.507516,True,False,False,False,False,,False,,,1,False,,False,False,alpha_rich,alpha_rich,alpha_rich,alpha_rich,True,True,compact_single_domain,compact_single_domain,unknown,compact_single_domain,True,True,ordered,ordered,ordered,ordered,True,True,soluble_like,unknown,unknown,unknown,False,False,False,
pdb_1FLP_A_hemoglobin_i,142,orthogonal_fold_axis_projection,compact_single_domain,alpha_rich,alpha_rich,alpha_rich,0.366032,True,False,False,False,False,,False,,,1,False,,False,False,alpha_rich,alpha_rich,alpha_rich,alpha_rich,True,True,compact_single_domain,compact_single_domain,unknown,compact_single_domain,True,True,ordered,ordered,ordered,ordered,True,True,soluble_like,unknown,unknown,unknown,False,False,False,
pdb_1R69_A_lambda_repressor_ntd,69,orthogonal_fold_axis_projection,small_peptide_or_fragment,insufficient_topology_evidence,alpha_rich,alpha_rich,0.0,False,True,False,False,False,,False,,,3,False,,False,False,weak_or_unknown,alpha_rich,alpha_rich,alpha_rich,False,False,fragment_scope,fragment_scope,unknown,fragment_scope,True,True,mixed_or_uncertain,ordered,ordered,ordered,False,False,soluble_like,unknown,unknown,unknown,False,False,True,fragment_evidence_not_global_fold_truth
pdb_2MHR_A_myohemerythrin,118,orthogonal_fold_axis_projection,compact_single_domain,insufficient_topology_evidence,alpha_rich,alpha_rich,0.323895,False,True,False,False,False,,False,,,3,False,,False,False,weak_or_unknown,alpha_rich,alpha_rich,alpha_rich,False,False,compact_single_domain,compact_single_domain,unknown,compact_single_domain,True,True,mixed_or_uncertain,ordered,ordered,ordered,False,False,soluble_like,unknown,unknown,unknown,False,False,False,
pdb_1CYO_A_cytochrome_c2,93,orthogonal_fold_axis_projection,compact_single_domain,insufficient_topology_evidence,alpha_beta_mixed,alpha_rich,0.282243,False,True,True,False,True,secondary_structure_axis,False,,,3,False,single_class_disagreement_contains_same_axis_conflict,False,False,weak_or_unknown,alpha_beta_mixed,alpha_rich,alpha_beta_mixed,False,False,compact_single_domain,compact_single_domain,unknown,compact_single_domain,True,True,mixed_or_uncertain,ordered,ordered,ordered,False,False,soluble_like,unknown,unknown,unknown,False,False,False,
pdb_1ROP_A_rop_protein,63,orthogonal_fold_axis_projection,small_peptide_or_fragment,insufficient_topology_evidence,multidomain_boundary,alpha_rich,0.0,False,True,True,True,False,,False,,,3,False,"single_class_disagreement_is_orthogonal_axis_projection:label_axes=secondary_structure_axis,order_axis;structure_axes=architecture_axis,order_axis",False,False,weak_or_unknown,weak_or_unknown,alpha_rich,alpha_rich,False,False,fragment_scope,fragment_scope,unknown,fragment_scope,True,True,mixed_or_uncertain,ordered,ordered,ordered,False,False,soluble_like,unknown,unknown,unknown,False,False,True,single_class_taxonomy_collapse;fragment_evidence_not_global_fold_truth
pdb_1GAB_A_albumin_binding_domain,53,orthogonal_fold_axis_projection,small_peptide_or_fragment,insufficient_topology_evidence,alpha_rich,alpha_rich,0.0,False,True,False,False,False,,False,,,3,False,,False,False,weak_or_unknown,alpha_rich,alpha_rich,alpha_rich,False,False,fragment_scope,fragment_scope,unknown,fragment_scope,True,True,mixed_or_uncertain,ordered,ordered,ordered,False,False,soluble_like,unknown,unknown,unknown,False,False,True,fragment_evidence_not_global_fold_truth
pdb_256B_A_cytochrome_b562,106,orthogonal_fold_axis_projection,compact_single_domain,alpha_rich,alpha_rich,alpha_rich,0.641849,True,False,False,False,False,,False,,,1,False,,False,False,alpha_rich,alpha_rich,alpha_rich,alpha_rich,True,True,compact_single_domain,compact_single_domain,unknown,compact_single_domain,True,True,ordered,ordered,ordered,ordered,True,True,soluble_like,unknown,unknown,unknown,False,False,False,
pdb_1CUN_A_alpha_spectrin_repeat,213,orthogonal_fold_axis_projection,compact_single_domain,insufficient_topology_evidence,multidomain_boundary,alpha_rich,0.0,False,True,True,True,False,,True,architecture_axis,architecture_axis,3,False,"single_class_disagreement_is_orthogonal_axis_projection:label_axes=secondary_structure_axis,order_axis;structure_axes=architecture_axis,order_axis",False,False,weak_or_unknown,weak_or_unknown,alpha_rich,alpha_rich,False,False,compact_single_domain,multidomain_or_segmented,unknown,multidomain_or_segmented,True,False,mixed_or_uncertain,ordered,ordered,ordered,False,False,soluble_like,unknown,unknown,unknown,False,False,True,single_class_taxonomy_collapse;true_same_axis_conflict
