protein_id,predicted_fold_class,raw_motif_predicted_fold_class,structure_fold_class,label_fold_class,gate_path,gate_decision_reason,likely_failure_reason,confidence,uncertainty_radius,claim_strength,high_confidence_wrong,abstained
pdb_1R69_A_lambda_repressor_ntd,insufficient_topology_evidence,multidomain_boundary,alpha_rich,alpha_rich,disorder_gate:foldable_not_ruled_out | compactness_gate:weak_closure_abstain | segmentation_gate:not_evaluated | secondary_structure_gate:not_evaluated | confidence_gate:abstained,compactness and closure are too weak to force a fold class,compactness and closure are too weak to force a fold class,0.0,0.7872,abstained,False,True
pdb_2MHR_A_myohemerythrin,insufficient_topology_evidence,alpha_beta_mixed,alpha_rich,alpha_rich,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:mixed_supported_but_weak | confidence_gate:abstained_low_decision_margin,"mixed alpha/beta evidence exists, but the confidence gate must decide whether the local signals are stable enough; confidence gate abstained on low decision margin","mixed alpha/beta evidence exists, but the confidence gate must decide whether the local signals are stable enough; confidence gate abstained on low decision margin",0.323895,0.7872,abstained,False,True
pdb_1CYO_A_cytochrome_c2,insufficient_topology_evidence,alpha_beta_mixed,alpha_beta_mixed,alpha_rich,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin,0.282243,0.7872,abstained,False,True
pdb_1ROP_A_rop_protein,alpha_rich,alpha_beta_mixed,multidomain_boundary,alpha_rich,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:alpha_periodic_compact | confidence_gate:forced_low_claim_strength,"alpha interpretation requires local alpha pressure, periodic support, compact core, and limited disorder pressure",hierarchical_gate_prediction_structure_mismatch,0.640532,0.323354,medium,True,False
pdb_1CSP_A_cold_shock_protein,insufficient_topology_evidence,beta_rich,beta_rich,beta_rich,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin,0.265436,0.7872,abstained,False,True
pdb_1SHG_A_src_sh3_domain,insufficient_topology_evidence,alpha_beta_mixed,beta_rich,beta_rich,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:mixed_supported_but_weak | confidence_gate:abstained_low_decision_margin,"mixed alpha/beta evidence exists, but the confidence gate must decide whether the local signals are stable enough; confidence gate abstained on low decision margin","mixed alpha/beta evidence exists, but the confidence gate must decide whether the local signals are stable enough; confidence gate abstained on low decision margin",0.276987,0.7872,abstained,False,True
pdb_1TIT_A_titin_i27,insufficient_topology_evidence,beta_rich,beta_rich,beta_rich,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:mixed_supported_but_weak | confidence_gate:abstained_low_decision_margin,"mixed alpha/beta evidence exists, but the confidence gate must decide whether the local signals are stable enough; confidence gate abstained on low decision margin","mixed alpha/beta evidence exists, but the confidence gate must decide whether the local signals are stable enough; confidence gate abstained on low decision margin",0.284744,0.7872,abstained,False,True
pdb_2PTL_A_protein_l_domain,insufficient_topology_evidence,alpha_beta_mixed,beta_rich,beta_rich,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin,0.305931,0.7872,abstained,False,True
pdb_1IGD_A_immunoglobulin_domain,multidomain_boundary,beta_rich,alpha_beta_mixed,beta_rich,disorder_gate:foldable_candidate | compactness_gate:compact_closure_supported | segmentation_gate:folded_multidomain_supported | secondary_structure_gate:skipped_by_segmentation_gate | confidence_gate:forced_low_claim_strength,domain-boundary evidence is treated as folded multidomain only because compact core and long-range closure are also present,hierarchical_gate_prediction_structure_mismatch,0.59289,0.338218,medium,True,False
pdb_1BFG_A_basic_fgf,disordered_flexible,multidomain_boundary,beta_rich,beta_rich,disorder_gate:disordered_or_flexible | compactness_gate:not_compact_enough_for_folded_domain | segmentation_gate:flexible_segmentation_not_multidomain | secondary_structure_gate:skipped_by_disorder_gate | confidence_gate:forced_low_claim_strength,disorder pressure and breaker/turn evidence are prioritized over secondary-structure interpretation because compact closure is weak,hierarchical_gate_prediction_structure_mismatch,0.571186,0.34499,weak,False,False
pdb_1GFL_A_green_fluorescent_protein,insufficient_topology_evidence,multidomain_boundary,multidomain_boundary,beta_rich,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin,0.273268,0.7872,abstained,False,True
pdb_1KSR_A_kunitz_serine_protease_inhibitor,disordered_flexible,disordered_flexible,beta_rich,beta_rich,disorder_gate:disordered_or_flexible | compactness_gate:not_compact_enough_for_folded_domain | segmentation_gate:flexible_segmentation_not_multidomain | secondary_structure_gate:skipped_by_disorder_gate | confidence_gate:forced_low_claim_strength,disorder pressure and breaker/turn evidence are prioritized over secondary-structure interpretation because compact closure is weak,hierarchical_gate_prediction_structure_mismatch,0.703282,0.303776,medium,True,False
pdb_1TIM_A_triosephosphate_isomerase,insufficient_topology_evidence,multidomain_boundary,alpha_beta_mixed,alpha_beta_mixed,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin,0.298581,0.7872,abstained,False,True
pdb_1PGA_A_protein_g_b1,insufficient_topology_evidence,beta_rich,alpha_beta_mixed,alpha_beta_mixed,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:mixed_supported_but_weak | confidence_gate:abstained_low_decision_margin,"mixed alpha/beta evidence exists, but the confidence gate must decide whether the local signals are stable enough; confidence gate abstained on low decision margin","mixed alpha/beta evidence exists, but the confidence gate must decide whether the local signals are stable enough; confidence gate abstained on low decision margin",0.248675,0.7872,abstained,False,True
pdb_4AKE_A_adenylate_kinase,insufficient_topology_evidence,beta_rich,alpha_beta_mixed,alpha_beta_mixed,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin,0.285531,0.7872,abstained,False,True
pdb_1UBQ_A_ubiquitin,insufficient_topology_evidence,beta_rich,beta_rich,alpha_beta_mixed,disorder_gate:foldable_not_ruled_out | compactness_gate:weak_closure_abstain | segmentation_gate:not_evaluated | secondary_structure_gate:not_evaluated | confidence_gate:abstained,compactness and closure are too weak to force a fold class,compactness and closure are too weak to force a fold class,0.0,0.7872,abstained,False,True
pdb_2TRX_A_thioredoxin,insufficient_topology_evidence,alpha_beta_mixed,alpha_beta_mixed,alpha_beta_mixed,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:mixed_supported_but_weak | confidence_gate:abstained_low_decision_margin,"mixed alpha/beta evidence exists, but the confidence gate must decide whether the local signals are stable enough; confidence gate abstained on low decision margin","mixed alpha/beta evidence exists, but the confidence gate must decide whether the local signals are stable enough; confidence gate abstained on low decision margin",0.283008,0.7872,abstained,False,True
pdb_3CHY_A_chey_response_regulator,insufficient_topology_evidence,alpha_beta_mixed,alpha_beta_mixed,alpha_beta_mixed,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:abstained_alpha_mixed_ambiguity | confidence_gate:abstained,"alpha-rich evidence was not forced because beta pressure, pairing support, and mixed secondary-structure score remain too close to the alpha score","alpha-rich evidence was not forced because beta pressure, pairing support, and mixed secondary-structure score remain too close to the alpha score",0.0,0.7872,abstained,False,True
pdb_2CI2_I_chymotrypsin_inhibitor_2,insufficient_topology_evidence,beta_rich,beta_rich,alpha_beta_mixed,disorder_gate:foldable_not_ruled_out | compactness_gate:weak_closure_abstain | segmentation_gate:not_evaluated | secondary_structure_gate:not_evaluated | confidence_gate:abstained,compactness and closure are too weak to force a fold class,compactness and closure are too weak to force a fold class,0.0,0.7872,abstained,False,True
pdb_1FKB_A_fk506_binding_protein,disordered_flexible,disordered_flexible,beta_rich,alpha_beta_mixed,disorder_gate:disordered_or_flexible | compactness_gate:not_compact_enough_for_folded_domain | segmentation_gate:flexible_segmentation_not_multidomain | secondary_structure_gate:skipped_by_disorder_gate | confidence_gate:forced_low_claim_strength,disorder pressure and breaker/turn evidence are prioritized over secondary-structure interpretation because compact closure is weak,hierarchical_gate_prediction_structure_mismatch,0.613689,0.331729,medium,True,False
pdb_2RN2_A_ribonuclease_a,insufficient_topology_evidence,multidomain_boundary,alpha_beta_mixed,alpha_beta_mixed,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin,0.318632,0.7872,abstained,False,True
pdb_1BTA_A_barstar,insufficient_topology_evidence,alpha_beta_mixed,alpha_beta_mixed,alpha_beta_mixed,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:abstained_alpha_mixed_ambiguity | confidence_gate:abstained,"alpha-rich evidence was not forced because beta pressure, pairing support, and mixed secondary-structure score remain too close to the alpha score","alpha-rich evidence was not forced because beta pressure, pairing support, and mixed secondary-structure score remain too close to the alpha score",0.0,0.7872,abstained,False,True
pdb_1B57_A_fructose_bisphosphate_aldolase,insufficient_topology_evidence,alpha_beta_mixed,alpha_rich,multidomain_boundary,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin,0.301001,0.7872,abstained,False,True
pdb_1AON_A_groel,insufficient_topology_evidence,multidomain_boundary,alpha_beta_mixed,multidomain_boundary,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin,0.329401,0.7872,abstained,False,True
pdb_1IGT_B_igg2a_heavy_chain,insufficient_topology_evidence,multidomain_boundary,beta_rich,multidomain_boundary,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin,0.274498,0.7872,abstained,False,True
pdb_1GTR_A_glutaminyl_trna_synthetase,multidomain_boundary,multidomain_boundary,alpha_beta_mixed,multidomain_boundary,disorder_gate:foldable_candidate | compactness_gate:compact_closure_supported | segmentation_gate:folded_multidomain_supported | secondary_structure_gate:skipped_by_segmentation_gate | confidence_gate:forced_low_claim_strength,domain-boundary evidence is treated as folded multidomain only because compact core and long-range closure are also present,hierarchical_gate_prediction_structure_mismatch,0.643383,0.322464,medium,True,False
pdb_1E4M_M_myrosinase,insufficient_topology_evidence,multidomain_boundary,alpha_rich,multidomain_boundary,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:mixed_supported_but_weak | confidence_gate:abstained_low_decision_margin,"mixed alpha/beta evidence exists, but the confidence gate must decide whether the local signals are stable enough; confidence gate abstained on low decision margin","mixed alpha/beta evidence exists, but the confidence gate must decide whether the local signals are stable enough; confidence gate abstained on low decision margin",0.261291,0.7872,abstained,False,True
pdb_1F88_A_rhodopsin,multidomain_boundary,multidomain_boundary,alpha_rich,multidomain_boundary,disorder_gate:foldable_candidate | compactness_gate:compact_closure_supported | segmentation_gate:folded_multidomain_supported | secondary_structure_gate:skipped_by_segmentation_gate | confidence_gate:forced_low_claim_strength,domain-boundary evidence is treated as folded multidomain only because compact core and long-range closure are also present,hierarchical_gate_prediction_structure_mismatch,0.832473,0.263468,strong,True,False
pdb_1GSA_A_glutathione_synthetase,insufficient_topology_evidence,multidomain_boundary,alpha_beta_mixed,multidomain_boundary,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin,0.294517,0.7872,abstained,False,True
pdb_1TUP_A_p53_core_dna_complex,insufficient_topology_evidence,multidomain_boundary,beta_rich,multidomain_boundary,disorder_gate:foldable_not_ruled_out | compactness_gate:weak_closure_abstain | segmentation_gate:not_evaluated | secondary_structure_gate:not_evaluated | confidence_gate:abstained,compactness and closure are too weak to force a fold class,compactness and closure are too weak to force a fold class,0.0,0.7872,abstained,False,True
