row_id,sequence_hash,sequence_length,length_band,segmentation_pressure,repeat_pressure,compact_domain_pressure,fragment_scope_pressure,multidomain_pressure,membrane_segmentation_pressure,disorder_segmentation_pressure,evidence_strength,architecture_axis_prediction,architecture_axis_confidence,architecture_axis_claim_allowed,architecture_axis_abstention_reason,architecture_axis_decision_reason,protein_regime,regime_confidence,composition_regime_contrast,linker_separator_pressure,compact_repeat_support,architecture_secondary_leakage_used,architecture_label_leakage_used,architecture_axis_signature_kind,source_axis_profile_signature_kind,profile_architecture_axis,adjudicated_truth_architecture_axis,architecture_axis_scorable,architecture_axis_match,architecture_axis_same_axis_conflict,architecture_axis_recovered_from_profile,global_fold_class_claim_allowed,axis_profile_claim_allowed,folding_problem_solved,folding_solution_claim_created,claim_allowed,drug_design_created,molecule_generated,protein_sequence_design_created
pdb_1MBN_A_myoglobin,4e1e5bdd96abfd0c,153,medium_140_259,0.38605,0.298927,0.484212,0.089116,0.292095,0.057844,0.276717,0.484212,compact_single_domain,0.533659,True,,"small-to-medium compact evidence has low segmentation, repeat, membrane, and disorder pressure",compact_single_domain,0.682968,0.057407,0.333333,0.355262,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,compact_single_domain,True,True,False,False,False,True,False,False,False,False,False,False
pdb_2LZM_A_t4_lysozyme,0619a8bdf08b1508,164,medium_140_259,0.31259,0.389725,0.533283,0.094993,0.185864,0.071951,0.156234,0.533283,unknown,0.0,False,repeat/segmentation signals are mixed,repeat/segmentation signals are mixed,compact_single_domain,0.699286,0.061111,0.0,0.415446,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,compact_single_domain,False,False,False,False,False,True,False,False,False,False,False,False
pdb_1FLP_A_hemoglobin_i,e18c39f4b5ecb619,142,medium_140_259,0.362952,0.359538,0.471625,0.090964,0.257584,0.163072,0.336041,0.471625,compact_single_domain,0.521173,True,,"small-to-medium compact evidence has low segmentation, repeat, membrane, and disorder pressure",compact_single_domain,0.680901,0.048257,0.5,0.402718,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,compact_single_domain,True,True,False,False,False,True,False,False,False,False,False,False
pdb_1R69_A_lambda_repressor_ntd,4181a9e1c39ff426,69,short_fragment_under_70,0.401708,0.192946,0.269524,0.890863,0.292739,0.12826,0.453908,0.890863,fragment_scope,0.890863,True,,short sequence scope is treated as fragment context,small_peptide_or_fragment,0.813333,0.072727,0.666667,0.222799,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,fragment_scope,fragment_scope,True,True,False,True,False,True,False,False,False,False,False,False
pdb_2MHR_A_myohemerythrin,d30c76948c69124b,118,small_70_139,0.381225,0.33948,0.575443,0.089502,0.249161,0.075001,0.200486,0.575443,compact_single_domain,0.609265,True,,"small-to-medium compact evidence has low segmentation, repeat, membrane, and disorder pressure",compact_single_domain,0.712478,0.080555,0.2,0.380911,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,compact_single_domain,True,True,False,False,False,True,False,False,False,False,False,False
pdb_1CYO_A_cytochrome_c2,e40990e89b2603d2,93,small_70_139,0.400159,0.233205,0.375793,0.098987,0.285537,0.126882,0.381381,0.375793,unknown,0.0,False,architecture evidence is insufficient or mixed,architecture evidence is insufficient or mixed,compact_single_domain,0.654237,0.104365,0.5,0.279572,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,compact_single_domain,False,False,False,False,False,True,False,False,False,False,False,False
pdb_1ROP_A_rop_protein,b999d6315c7a7034,63,short_fragment_under_70,0.33089,0.3763,0.602834,1.0,0.216572,0.140476,0.11809,1.0,fragment_scope,1.0,True,,short sequence scope is treated as fragment context,small_peptide_or_fragment,0.84,0.048148,0.0,0.381031,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,fragment_scope,fragment_scope,True,True,False,True,False,True,False,False,False,False,False,False
pdb_1GAB_A_albumin_binding_domain,58b27bba91b6c205,53,short_fragment_under_70,0.311596,0.388354,0.732031,1.0,0.20347,0.216114,0.00494,1.0,fragment_scope,1.0,True,,short sequence scope is treated as fragment context,small_peptide_or_fragment,0.884444,0.0,0.0,0.41056,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,fragment_scope,fragment_scope,True,True,False,True,False,True,False,False,False,False,False,False
pdb_256B_A_cytochrome_b562,642f6096abdde453,106,small_70_139,0.374678,0.364597,0.532681,0.090026,0.247897,0.111321,0.223493,0.532681,unknown,0.0,False,repeat/segmentation signals are mixed,repeat/segmentation signals are mixed,compact_single_domain,0.697233,0.08268,0.25,0.397788,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,compact_single_domain,False,False,False,False,False,True,False,False,False,False,False,False
pdb_1CUN_A_alpha_spectrin_repeat,bea48a2f1f971906,213,medium_140_259,0.442457,0.36673,0.477647,0.084603,0.352144,0.055398,0.233111,0.477647,unknown,0.0,False,repeat/segmentation signals are mixed,repeat/segmentation signals are mixed,compact_single_domain,0.679073,0.071717,0.444444,0.427976,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,multidomain_or_segmented,False,False,False,False,False,True,False,False,False,False,False,False
