row_id,protein_regime,length_band,architecture_axis_prediction,architecture_axis_abstention_reason,evidence_strength,segmentation_pressure,repeat_pressure,compact_domain_pressure,fragment_scope_pressure,multidomain_pressure,membrane_segmentation_pressure,disorder_segmentation_pressure,adjudicated_truth_architecture_axis
pdb_2LZM_A_t4_lysozyme,compact_single_domain,medium_140_259,unknown,repeat/segmentation signals are mixed,0.533283,0.31259,0.389725,0.533283,0.094993,0.185864,0.071951,0.156234,compact_single_domain
pdb_1CYO_A_cytochrome_c2,compact_single_domain,small_70_139,unknown,architecture evidence is insufficient or mixed,0.375793,0.400159,0.233205,0.375793,0.098987,0.285537,0.126882,0.381381,compact_single_domain
pdb_256B_A_cytochrome_b562,compact_single_domain,small_70_139,unknown,repeat/segmentation signals are mixed,0.532681,0.374678,0.364597,0.532681,0.090026,0.247897,0.111321,0.223493,compact_single_domain
pdb_1CUN_A_alpha_spectrin_repeat,compact_single_domain,medium_140_259,unknown,repeat/segmentation signals are mixed,0.477647,0.442457,0.36673,0.477647,0.084603,0.352144,0.055398,0.233111,multidomain_or_segmented
pdb_1TEN_A_tenascin_fn3,compact_single_domain,small_70_139,unknown,architecture evidence is insufficient or mixed,0.387035,0.416519,0.210913,0.387035,0.114178,0.325777,0.098332,0.397779,compact_single_domain
pdb_1FNA_A_fibronectin_type_iii,compact_single_domain,small_70_139,unknown,architecture evidence is insufficient or mixed,0.388545,0.452637,0.181275,0.388545,0.105789,0.341498,0.12967,0.451014,compact_single_domain
pdb_1BFG_A_basic_fgf,intrinsically_disordered,medium_140_259,unknown,disorder-like segmentation pressure is too high,0.294982,0.409344,0.213918,0.293775,0.0,0.294982,0.101029,0.516845,compact_single_domain
pdb_1GFL_A_green_fluorescent_protein,compact_single_domain,medium_140_259,unknown,compact regime is present but length/segmentation evidence needs architecture-specific support,0.441363,0.506525,0.257636,0.364493,0.079478,0.441363,0.061974,0.402523,multidomain_or_segmented
pdb_1KSR_A_kunitz_serine_protease_inhibitor,ambiguous_regime,small_70_139,unknown,disorder-like segmentation pressure is too high,0.277454,0.35752,0.21952,0.277454,0.0,0.266986,0.0885,0.679276,compact_single_domain
pdb_1TIM_A_triosephosphate_isomerase,compact_single_domain,medium_140_259,unknown,compact regime is present but length/segmentation evidence needs architecture-specific support,0.389633,0.419409,0.313327,0.389633,0.086447,0.363125,0.071658,0.357142,multidomain_or_segmented
pdb_4AKE_A_adenylate_kinase,compact_single_domain,medium_140_259,unknown,compact regime is present but length/segmentation evidence needs architecture-specific support,0.371052,0.39984,0.263478,0.371052,0.088013,0.332222,0.082709,0.41941,multidomain_or_segmented
pdb_1UBQ_A_ubiquitin,intrinsically_disordered,small_70_139,unknown,architecture evidence is insufficient or mixed,0.370306,0.362595,0.191268,0.370306,0.075492,0.284419,0.155264,0.441832,compact_single_domain
pdb_3CHY_A_chey_response_regulator,membrane_like,small_70_139,unknown,membrane segmentation can reflect helices rather than global domains,0.556,0.384785,0.400691,0.556,0.089217,0.265861,0.604014,0.198557,compact_single_domain
pdb_2CI2_I_chymotrypsin_inhibitor_2,intrinsically_disordered,small_70_139,unknown,architecture evidence is insufficient or mixed,0.360491,0.351911,0.291462,0.360491,0.037847,0.225288,0.142169,0.452586,fragment_scope
pdb_1FKB_A_fk506_binding_protein,ambiguous_regime,small_70_139,unknown,disorder-like segmentation pressure is too high,0.311536,0.34835,0.168283,0.311536,0.0,0.253212,0.082709,0.603565,compact_single_domain
pdb_2RN2_A_ribonuclease_a,compact_single_domain,medium_140_259,unknown,architecture evidence is insufficient or mixed,0.40891,0.498528,0.234407,0.40891,0.080118,0.390762,0.152258,0.3761,compact_single_domain
pdb_1BTA_A_barstar,compact_single_domain,small_70_139,unknown,architecture evidence is insufficient or mixed,0.480882,0.437805,0.241659,0.480882,0.117976,0.346942,0.099439,0.357904,compact_single_domain
pdb_1CLL_A_calmodulin,compact_single_domain,medium_140_259,unknown,repeat/segmentation signals are mixed,0.463231,0.39752,0.387561,0.463231,0.088198,0.286982,0.059796,0.264,multidomain_or_segmented
