failure_cohort,protein_regime,predicted_fold_class,structure_fold_class,label_fold_class,length_bucket,compactness_bucket,disorder_bucket,segmentation_bucket,contact_density_bucket,long_range_contact_bucket,structure_source_quality,count,forced_prediction_count,abstained_prediction_count,correct_count,high_confidence_wrong_count,structure_label_disagreement_count,possible_bad_rows_count,manual_review_count,example_proteins,accuracy
correct_forced,compact_single_domain,alpha_rich,alpha_rich,alpha_rich,medium_140_259,mid,low,mid,mid,mid,coordinate_contact_graph,3,3,0,3,0,0,0,0,pdb_1MBN_A_myoglobin;pdb_2LZM_A_t4_lysozyme;pdb_1FLP_A_hemoglobin_i,1.0
correct_forced,intrinsically_disordered,disordered_flexible,disordered_flexible,disordered_flexible,small_70_139,low,high,low,low,low,curated_disorder_reference,3,3,0,3,0,0,0,0,disprot_O60356_nupr1;disprot_Q13541_eif4ebp1;disprot_P17096_hmga1,1.0
abstained_on_structure_label_disagreement,multidomain_modular,insufficient_topology_evidence,alpha_beta_mixed,multidomain_boundary,very_large_420_plus,mid,low,mid,low,high,sparse_long_range_contact_graph,2,0,2,0,0,2,2,2,pdb_1AON_A_groel;pdb_1LFG_A_lactoferrin,0.0
abstained_unresolved,compact_single_domain,insufficient_topology_evidence,alpha_beta_mixed,alpha_beta_mixed,medium_140_259,mid,low,mid,mid,high,coordinate_contact_graph,2,0,2,0,0,0,0,0,pdb_1TIM_A_triosephosphate_isomerase;pdb_2RN2_A_ribonuclease_a,0.0
correct_forced,compact_single_domain,beta_rich,beta_rich,beta_rich,small_70_139,mid,low,low,mid,high,coordinate_contact_graph,2,2,0,2,0,0,0,0,pdb_1TEN_A_tenascin_fn3;pdb_1FNA_A_fibronectin_type_iii,1.0
correct_forced,intrinsically_disordered,disordered_flexible,disordered_flexible,disordered_flexible,medium_140_259,low,mid,low,low,low,curated_disorder_reference,2,2,0,2,0,0,0,0,disprot_P37840_alpha_synuclein;disprot_P46527_cdkn1b_p27,1.0
abstained_on_regime_risk,membrane_like,insufficient_topology_evidence,alpha_beta_mixed,alpha_beta_mixed,small_70_139,high,low,mid,mid,mid,coordinate_contact_graph,1,0,1,0,0,0,0,0,pdb_3CHY_A_chey_response_regulator,0.0
abstained_on_regime_risk,small_peptide_or_fragment,insufficient_topology_evidence,alpha_rich,alpha_rich,fragment_lt70,low,mid,low,high,mid,short_coordinate_fragment,1,0,1,0,0,0,0,1,pdb_1R69_A_lambda_repressor_ntd,0.0
abstained_on_regime_risk,small_peptide_or_fragment,insufficient_topology_evidence,alpha_rich,alpha_rich,fragment_lt70,high,low,mid,high,low,short_coordinate_fragment,1,0,1,0,0,0,0,1,pdb_1GAB_A_albumin_binding_domain,0.0
abstained_on_regime_risk,small_peptide_or_fragment,insufficient_topology_evidence,beta_rich,beta_rich,fragment_lt70,mid,mid,low,high,mid,short_coordinate_fragment,1,0,1,0,0,0,0,1,pdb_1CSP_A_cold_shock_protein,0.0
abstained_on_regime_risk,small_peptide_or_fragment,insufficient_topology_evidence,beta_rich,beta_rich,fragment_lt70,high,low,mid,high,mid,short_coordinate_fragment,1,0,1,0,0,0,0,1,pdb_1SHG_A_src_sh3_domain,0.0
abstained_on_regime_risk,small_peptide_or_fragment,insufficient_topology_evidence,alpha_beta_mixed,alpha_beta_mixed,fragment_lt70,high,low,mid,high,mid,short_coordinate_fragment,1,0,1,0,0,0,0,1,pdb_1PGA_A_protein_g_b1,0.0
abstained_on_structure_label_disagreement,compact_single_domain,insufficient_topology_evidence,alpha_beta_mixed,alpha_rich,small_70_139,mid,low,low,mid,mid,coordinate_contact_graph,1,0,1,0,0,1,0,1,pdb_1CYO_A_cytochrome_c2,0.0
abstained_on_structure_label_disagreement,compact_single_domain,insufficient_topology_evidence,multidomain_boundary,alpha_rich,medium_140_259,mid,low,mid,mid,mid,coordinate_contact_graph,1,0,1,0,0,1,0,1,pdb_1CUN_A_alpha_spectrin_repeat,0.0
abstained_on_structure_label_disagreement,compact_single_domain,insufficient_topology_evidence,multidomain_boundary,beta_rich,medium_140_259,mid,low,mid,mid,high,coordinate_contact_graph,1,0,1,0,0,1,0,1,pdb_1GFL_A_green_fluorescent_protein,0.0
abstained_on_structure_label_disagreement,compact_single_domain,insufficient_topology_evidence,alpha_rich,multidomain_boundary,large_260_419,mid,low,mid,low,high,coordinate_contact_graph,1,0,1,0,0,1,0,1,pdb_1B57_A_fructose_bisphosphate_aldolase,0.0
abstained_on_structure_label_disagreement,compact_single_domain,insufficient_topology_evidence,alpha_beta_mixed,multidomain_boundary,large_260_419,mid,low,mid,low,high,coordinate_contact_graph,1,0,1,0,0,1,0,1,pdb_1GSA_A_glutathione_synthetase,0.0
abstained_on_structure_label_disagreement,intrinsically_disordered,insufficient_topology_evidence,beta_rich,alpha_beta_mixed,small_70_139,low,mid,low,mid,mid,coordinate_contact_graph,1,0,1,0,0,1,0,1,pdb_1UBQ_A_ubiquitin,0.0
