row_id,source_id,source_kind,sequence_sha256,sequence_hash_short,length,external_family_id,external_family_name,external_family_group,holdout_split,truth_scope,evidence_notes,source_predicted_fold_class,source_forced_prediction,source_abstained,source_confidence,protein_regime,gate_path,gate_decision_reason,profile_secondary_structure_axis,profile_order_axis,profile_environment_axis,profile_architecture_axis,architecture_axis_prediction,architecture_axis_confidence,architecture_axis_claim_allowed,architecture_axis_abstention_reason,truth_secondary_structure_axis,truth_architecture_axis,truth_order_axis,truth_environment_axis,axis_profile_same_axis_conflict,axis_profile_conflict_axes,architecture_axis_same_axis_conflict,combined_same_axis_conflict,conflict_axes,safe_axis_claim_count,unsafe_axis_claim_count,safe_axis_recovered_axes,safe_axis_recovered_count,unsafe_class_recovery,guard_override,any_axis_claimed,global_fold_class_claim_allowed,axis_profile_claim_allowed,folding_problem_solved,claim_allowed,prediction_source_layer,failure_cohort
holdout_001_alpha_rich_soluble_01,external_holdout:holdout_alpha_family_01:001,locked_external_family_proxy,a3343609e7ab409e2c46779b06e3fe219ca5bafcb8bfbaf2eaecf9f80d617905,a3343609e7ab409e,96,holdout_alpha_family_01,four_helix_bundle_proxy,alpha_rich_soluble,external_fold_family_100,global_chain,alpha-rich soluble holdout family proxy;not present in development 50,insufficient_topology_evidence,False,True,0.0,low_complexity_region_rich,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:forced_low_claim_strength | regime_router:abstained_low_complexity_fold_conflict,low-complexity regime lacks a safe folded-class route,weak_or_unknown,ordered,unknown,unknown,unknown,0.0,False,repeat/segmentation signals are mixed,alpha_rich,compact_single_domain,ordered,soluble_like,False,,False,False,,1,0,order_axis,1,False,False,True,False,True,False,False,current_safe_axis_stack,safe_axis_claimed
holdout_002_alpha_rich_soluble_01,external_holdout:holdout_alpha_family_01:002,locked_external_family_proxy,bf93f6efafc170f7a40dab1732afb622fd447745b6a6f66e557a320f0563ef12,bf93f6efafc170f7,112,holdout_alpha_family_01,four_helix_bundle_proxy,alpha_rich_soluble,external_fold_family_100,global_chain,alpha-rich soluble holdout family proxy;not present in development 50,insufficient_topology_evidence,False,True,0.0,repeat_like,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:alpha_periodic_compact | confidence_gate:forced_low_claim_strength | regime_router:abstained_repeat_like,repeat and periodicity pressure are high enough to require a repeat-specific gate; regime router abstained before accepting a broad fold-class claim,alpha_rich,ordered,unknown,unknown,unknown,0.0,False,repeat/segmentation signals are mixed,alpha_rich,compact_single_domain,ordered,soluble_like,False,,False,False,,2,0,secondary_structure_axis;order_axis,2,False,False,True,False,True,False,False,current_safe_axis_stack,safe_axis_claimed
holdout_003_alpha_rich_soluble_01,external_holdout:holdout_alpha_family_01:003,locked_external_family_proxy,c614240f254a8fa484ad4848ee5237520eb8dacbd23bd15bad1106cd0fb57f28,c614240f254a8fa4,128,holdout_alpha_family_01,four_helix_bundle_proxy,alpha_rich_soluble,external_fold_family_100,global_chain,alpha-rich soluble holdout family proxy;not present in development 50,insufficient_topology_evidence,False,True,0.0,repeat_like,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:forced_low_claim_strength | regime_router:abstained_repeat_like,repeat and periodicity pressure are high enough to require a repeat-specific gate; regime router abstained before accepting a broad fold-class claim,weak_or_unknown,ordered,unknown,unknown,repeat_like,0.670036,True,,alpha_rich,compact_single_domain,ordered,soluble_like,False,,True,True,architecture_axis,1,1,architecture_axis;order_axis,2,False,False,True,False,True,False,False,current_safe_axis_stack,architecture_axis_conflict
holdout_004_alpha_rich_soluble_01,external_holdout:holdout_alpha_family_01:004,locked_external_family_proxy,8fa242e9cb4455b5970502a8b11320b2bf4cf226257447ff71394630006663de,8fa242e9cb4455b5,144,holdout_alpha_family_01,four_helix_bundle_proxy,alpha_rich_soluble,external_fold_family_100,global_chain,alpha-rich soluble holdout family proxy;not present in development 50,insufficient_topology_evidence,False,True,0.0,repeat_like,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:forced_low_claim_strength | regime_router:abstained_repeat_like,repeat and periodicity pressure are high enough to require a repeat-specific gate; regime router abstained before accepting a broad fold-class claim,weak_or_unknown,ordered,unknown,unknown,unknown,0.0,False,repeat/segmentation signals are mixed,alpha_rich,compact_single_domain,ordered,soluble_like,False,,False,False,,1,0,order_axis,1,False,False,True,False,True,False,False,current_safe_axis_stack,safe_axis_claimed
holdout_005_alpha_rich_soluble_01,external_holdout:holdout_alpha_family_01:005,locked_external_family_proxy,33741cba2c493b6abd98d4c3ac791b5573289b0feee7df90678f2add11444a0f,33741cba2c493b6a,162,holdout_alpha_family_01,four_helix_bundle_proxy,alpha_rich_soluble,external_fold_family_100,global_chain,alpha-rich soluble holdout family proxy;not present in development 50,insufficient_topology_evidence,False,True,0.0,repeat_like,disorder_gate:foldable_candidate | compactness_gate:compact_closure_supported | segmentation_gate:folded_multidomain_supported | secondary_structure_gate:skipped_by_segmentation_gate | confidence_gate:forced_low_claim_strength | regime_router:abstained_repeat_like,repeat and periodicity pressure are high enough to require a repeat-specific gate; regime router abstained before accepting a broad fold-class claim,weak_or_unknown,ordered,unknown,unknown,repeat_like,0.704884,True,,alpha_rich,compact_single_domain,ordered,soluble_like,False,,True,True,architecture_axis,1,1,architecture_axis;order_axis,2,False,False,True,False,True,False,False,current_safe_axis_stack,architecture_axis_conflict
holdout_006_alpha_rich_soluble_02,external_holdout:holdout_alpha_family_02:006,locked_external_family_proxy,ed59e761e5a80b2837c74a6039d323c5f394ab5a7ee8fc3ef473aabdd6d2b85a,ed59e761e5a80b28,98,holdout_alpha_family_02,globin_like_proxy,alpha_rich_soluble,external_fold_family_100,global_chain,alpha-rich soluble holdout family proxy;not present in development 50,insufficient_topology_evidence,False,True,0.0,low_complexity_region_rich,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:forced_low_claim_strength | regime_router:abstained_low_complexity_fold_conflict,low-complexity regime lacks a safe folded-class route,weak_or_unknown,ordered,unknown,unknown,unknown,0.0,False,repeat/segmentation signals are mixed,alpha_rich,compact_single_domain,ordered,soluble_like,False,,False,False,,1,0,order_axis,1,False,False,True,False,True,False,False,current_safe_axis_stack,safe_axis_claimed
holdout_007_alpha_rich_soluble_02,external_holdout:holdout_alpha_family_02:007,locked_external_family_proxy,40db140b5cd76685e8d20b15676cd3af935a545e8cd8d592828335f6834ee4a0,40db140b5cd76685,114,holdout_alpha_family_02,globin_like_proxy,alpha_rich_soluble,external_fold_family_100,global_chain,alpha-rich soluble holdout family proxy;not present in development 50,insufficient_topology_evidence,False,True,0.0,repeat_like,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:alpha_periodic_compact | confidence_gate:forced_low_claim_strength | regime_router:abstained_repeat_like,repeat and periodicity pressure are high enough to require a repeat-specific gate; regime router abstained before accepting a broad fold-class claim,alpha_rich,ordered,unknown,unknown,unknown,0.0,False,repeat/segmentation signals are mixed,alpha_rich,compact_single_domain,ordered,soluble_like,False,,False,False,,2,0,secondary_structure_axis;order_axis,2,False,False,True,False,True,False,False,current_safe_axis_stack,safe_axis_claimed
holdout_008_alpha_rich_soluble_02,external_holdout:holdout_alpha_family_02:008,locked_external_family_proxy,68ecaa6ee2d1f4525d8f44469488472a76ad41d2a24e78093f2cdb8f935746ae,68ecaa6ee2d1f452,130,holdout_alpha_family_02,globin_like_proxy,alpha_rich_soluble,external_fold_family_100,global_chain,alpha-rich soluble holdout family proxy;not present in development 50,insufficient_topology_evidence,False,True,0.0,repeat_like,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:forced_low_claim_strength | regime_router:abstained_repeat_like,repeat and periodicity pressure are high enough to require a repeat-specific gate; regime router abstained before accepting a broad fold-class claim,weak_or_unknown,ordered,unknown,unknown,repeat_like,0.655566,True,,alpha_rich,compact_single_domain,ordered,soluble_like,False,,True,True,architecture_axis,1,1,architecture_axis;order_axis,2,False,False,True,False,True,False,False,current_safe_axis_stack,architecture_axis_conflict
holdout_009_alpha_rich_soluble_02,external_holdout:holdout_alpha_family_02:009,locked_external_family_proxy,a9296eb969508d6e5cccf8f14f74b898dc3d9879ce46325ff7fb3fd1ae1322d6,a9296eb969508d6e,146,holdout_alpha_family_02,globin_like_proxy,alpha_rich_soluble,external_fold_family_100,global_chain,alpha-rich soluble holdout family proxy;not present in development 50,insufficient_topology_evidence,False,True,0.0,repeat_like,disorder_gate:foldable_candidate | compactness_gate:compact_closure_supported | segmentation_gate:folded_multidomain_supported | secondary_structure_gate:skipped_by_segmentation_gate | confidence_gate:forced_low_claim_strength | regime_router:abstained_repeat_like,repeat and periodicity pressure are high enough to require a repeat-specific gate; regime router abstained before accepting a broad fold-class claim,weak_or_unknown,ordered,unknown,unknown,repeat_like,0.633961,True,,alpha_rich,compact_single_domain,ordered,soluble_like,False,,True,True,architecture_axis,1,1,architecture_axis;order_axis,2,False,False,True,False,True,False,False,current_safe_axis_stack,architecture_axis_conflict
holdout_010_alpha_rich_soluble_02,external_holdout:holdout_alpha_family_02:010,locked_external_family_proxy,8397aa72b60f408736af41f45a0af0b6ebec414d8004e989805bb62d10c27fe2,8397aa72b60f4087,164,holdout_alpha_family_02,globin_like_proxy,alpha_rich_soluble,external_fold_family_100,global_chain,alpha-rich soluble holdout family proxy;not present in development 50,insufficient_topology_evidence,False,True,0.0,repeat_like,disorder_gate:foldable_candidate | compactness_gate:compact_closure_supported | segmentation_gate:folded_multidomain_supported | secondary_structure_gate:skipped_by_segmentation_gate | confidence_gate:forced_low_claim_strength | regime_router:abstained_repeat_like,repeat and periodicity pressure are high enough to require a repeat-specific gate; regime router abstained before accepting a broad fold-class claim,weak_or_unknown,ordered,unknown,unknown,repeat_like,0.706307,True,,alpha_rich,compact_single_domain,ordered,soluble_like,False,,True,True,architecture_axis,1,1,architecture_axis;order_axis,2,False,False,True,False,True,False,False,current_safe_axis_stack,architecture_axis_conflict
holdout_011_alpha_rich_soluble_03,external_holdout:holdout_alpha_family_03:011,locked_external_family_proxy,6d79f8c85e19e3608eaba6832cc8459501f4d7772ea0b76bbc3ee34b5301e4bf,6d79f8c85e19e360,100,holdout_alpha_family_03,helical_enzyme_domain_proxy,alpha_rich_soluble,external_fold_family_100,global_chain,alpha-rich soluble holdout family proxy;not present in development 50,insufficient_topology_evidence,False,True,0.0,repeat_like,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:forced_low_claim_strength | regime_router:abstained_repeat_like,repeat and periodicity pressure are high enough to require a repeat-specific gate; regime router abstained before accepting a broad fold-class claim,weak_or_unknown,ordered,unknown,unknown,unknown,0.0,False,repeat/segmentation signals are mixed,alpha_rich,compact_single_domain,ordered,soluble_like,False,,False,False,,1,0,order_axis,1,False,False,True,False,True,False,False,current_safe_axis_stack,safe_axis_claimed
