protein_id,protein_regime,reference_regime,hierarchical_predicted_fold_class,predicted_fold_class,structure_fold_class,label_fold_class,regime_router_changed_prediction,hierarchical_high_confidence_wrong,structure_label_disagreement,possible_bad_row,gate_decision_reason,failure_cohort,manual_review_reasons
pdb_1R69_A_lambda_repressor_ntd,small_peptide_or_fragment,small_peptide_or_fragment,insufficient_topology_evidence,insufficient_topology_evidence,alpha_rich,alpha_rich,False,False,False,False,compactness and closure are too weak to force a fold class; regime router kept abstention for small_peptide_or_fragment,abstained_on_regime_risk,ambiguous_reference
pdb_2MHR_A_myohemerythrin,compact_single_domain,compact_single_domain,insufficient_topology_evidence,insufficient_topology_evidence,alpha_rich,alpha_rich,False,False,False,False,"mixed alpha/beta evidence exists, but the confidence gate must decide whether the local signals are stable enough; confidence gate abstained on low decision margin; regime router kept abstention for compact_single_domain",abstained_unresolved,
pdb_1CYO_A_cytochrome_c2,compact_single_domain,compact_single_domain,insufficient_topology_evidence,insufficient_topology_evidence,alpha_beta_mixed,alpha_rich,False,False,True,False,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin; regime router kept abstention for compact_single_domain,abstained_on_structure_label_disagreement,structure_label_disagreement;ambiguous_reference
pdb_1ROP_A_rop_protein,small_peptide_or_fragment,small_peptide_or_fragment,alpha_rich,insufficient_topology_evidence,multidomain_boundary,alpha_rich,True,True,True,True,sequence length is below the broad-fold context needed by the current gates; regime router abstained before accepting a broad fold-class claim,regime_prevented_high_confidence_wrong,structure_label_disagreement;ambiguous_reference;possible_bad_row
pdb_1GAB_A_albumin_binding_domain,small_peptide_or_fragment,small_peptide_or_fragment,alpha_rich,insufficient_topology_evidence,alpha_rich,alpha_rich,True,False,False,False,sequence length is below the broad-fold context needed by the current gates; regime router abstained before accepting a broad fold-class claim,abstained_on_regime_risk,ambiguous_reference
pdb_1CUN_A_alpha_spectrin_repeat,compact_single_domain,multidomain_modular,multidomain_boundary,insufficient_topology_evidence,multidomain_boundary,alpha_rich,True,False,True,False,compact-single-domain regime conflicts with boundary/disorder class,abstained_on_structure_label_disagreement,structure_label_disagreement;ambiguous_reference
pdb_1CSP_A_cold_shock_protein,small_peptide_or_fragment,small_peptide_or_fragment,insufficient_topology_evidence,insufficient_topology_evidence,beta_rich,beta_rich,False,False,False,False,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin; regime router kept abstention for small_peptide_or_fragment,abstained_on_regime_risk,ambiguous_reference
pdb_1SHG_A_src_sh3_domain,small_peptide_or_fragment,small_peptide_or_fragment,insufficient_topology_evidence,insufficient_topology_evidence,beta_rich,beta_rich,False,False,False,False,"mixed alpha/beta evidence exists, but the confidence gate must decide whether the local signals are stable enough; confidence gate abstained on low decision margin; regime router kept abstention for small_peptide_or_fragment",abstained_on_regime_risk,ambiguous_reference
pdb_1TIT_A_titin_i27,compact_single_domain,compact_single_domain,insufficient_topology_evidence,insufficient_topology_evidence,beta_rich,beta_rich,False,False,False,False,"mixed alpha/beta evidence exists, but the confidence gate must decide whether the local signals are stable enough; confidence gate abstained on low decision margin; regime router kept abstention for compact_single_domain",abstained_unresolved,
pdb_2PTL_A_protein_l_domain,compact_single_domain,compact_single_domain,insufficient_topology_evidence,insufficient_topology_evidence,beta_rich,beta_rich,False,False,False,False,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin; regime router kept abstention for compact_single_domain,abstained_unresolved,
pdb_1IGD_A_immunoglobulin_domain,small_peptide_or_fragment,small_peptide_or_fragment,multidomain_boundary,insufficient_topology_evidence,alpha_beta_mixed,beta_rich,True,True,True,True,sequence length is below the broad-fold context needed by the current gates; regime router abstained before accepting a broad fold-class claim,regime_prevented_high_confidence_wrong,structure_label_disagreement;ambiguous_reference;possible_bad_row
