row_id,source_id,source_kind,sequence_sha256,sequence_hash_short,length,external_family_id,external_family_name,external_family_group,holdout_split,truth_scope,source_predicted_fold_class,source_forced_prediction,source_abstained,source_confidence,protein_regime,pre_profile_order_axis,post_profile_order_axis,order_axis_claim_allowed,order_axis_confidence,order_axis_abstention_reason,order_axis_decision_reason,disorder_pressure,disorder_run_evidence,breaker_density,local_disorder_pressure,folded_beta_mimic_pressure,folded_mixed_mimic_pressure,compact_closure_pressure,beta_pairing_support,long_range_closure_evidence,contact_prior_density,pre_architecture_axis_prediction,post_architecture_axis_prediction,architecture_axis_confidence,architecture_axis_claim_allowed,architecture_axis_abstention_reason,repeat_pressure,compact_domain_pressure,repeat_recurrence_support,repeat_unit_consistency,repeat_vs_compact_margin,hydrophobic_periodicity_only_risk,profile_secondary_structure_axis,profile_order_axis,profile_environment_axis,architecture_axis_prediction,truth_secondary_structure_axis,truth_architecture_axis,truth_order_axis,truth_environment_axis,pre_axis_profile_same_axis_conflict,pre_architecture_axis_same_axis_conflict,post_axis_profile_same_axis_conflict,post_axis_profile_conflict_axes,post_architecture_axis_same_axis_conflict,post_combined_same_axis_conflict,post_conflict_axes,safe_axis_claim_count,unsafe_axis_claim_count,safe_axis_recovered_axes,safe_axis_recovered_count,order_axis_folded_mimic_quarantined,repeat_compact_ambiguity_quarantined,unsafe_class_recovery,guard_override,any_axis_claimed,global_fold_class_claim_allowed,axis_profile_claim_allowed,folding_problem_solved,claim_allowed,prediction_source_layer,failure_cohort
holdout_001_alpha_rich_soluble_01,external_holdout:holdout_alpha_family_01:001,locked_external_family_proxy,a3343609e7ab409e2c46779b06e3fe219ca5bafcb8bfbaf2eaecf9f80d617905,a3343609e7ab409e,96,holdout_alpha_family_01,four_helix_bundle_proxy,alpha_rich_soluble,external_fold_family_100,global_chain,insufficient_topology_evidence,False,True,0.0,low_complexity_region_rich,ordered,ordered,True,0.0,source did not force a fold class for order-axis projection,source did not force a fold class for order-axis projection,0.442513,0.052083,0.114583,0.372813,0.418789,0.329344,0.437878,0.367275,0.467593,0.642857,unknown,unknown,0.0,False,repeat/segmentation signals are mixed,0.552319,0.415278,0.267424,0.85119,0.137041,0.486956,weak_or_unknown,ordered,unknown,unknown,alpha_rich,compact_single_domain,ordered,soluble_like,False,False,False,,False,False,,1,0,order_axis,1,False,False,False,False,True,False,True,False,False,external_safe_axis_repair_stack,safe_axis_claimed
holdout_002_alpha_rich_soluble_01,external_holdout:holdout_alpha_family_01:002,locked_external_family_proxy,bf93f6efafc170f7a40dab1732afb622fd447745b6a6f66e557a320f0563ef12,bf93f6efafc170f7,112,holdout_alpha_family_01,four_helix_bundle_proxy,alpha_rich_soluble,external_fold_family_100,global_chain,insufficient_topology_evidence,False,True,0.0,repeat_like,ordered,ordered,True,0.0,source did not force a fold class for order-axis projection,source did not force a fold class for order-axis projection,0.372032,0.035714,0.089286,0.315954,0.465564,0.368728,0.4616,0.3954,0.502539,0.755556,unknown,unknown,0.0,False,repeat/segmentation signals are mixed,0.591446,0.453908,0.316641,0.888394,0.137538,0.452161,alpha_rich,ordered,unknown,unknown,alpha_rich,compact_single_domain,ordered,soluble_like,False,False,False,,False,False,,2,0,secondary_structure_axis;order_axis,2,False,False,False,False,True,False,True,False,False,external_safe_axis_repair_stack,safe_axis_claimed
holdout_003_alpha_rich_soluble_01,external_holdout:holdout_alpha_family_01:003,locked_external_family_proxy,c614240f254a8fa484ad4848ee5237520eb8dacbd23bd15bad1106cd0fb57f28,c614240f254a8fa4,128,holdout_alpha_family_01,four_helix_bundle_proxy,alpha_rich_soluble,external_fold_family_100,global_chain,insufficient_topology_evidence,False,True,0.0,repeat_like,ordered,ordered,True,0.0,source did not force a fold class for order-axis projection,source did not force a fold class for order-axis projection,0.394126,0.046875,0.09375,0.347674,0.44318,0.347463,0.426616,0.35826,0.472987,0.8,repeat_like,unknown,0.0,False,repeat_compact_single_domain_ambiguity_quarantine,0.678675,0.406963,0.301,0.892857,0.271712,0.463735,weak_or_unknown,ordered,unknown,unknown,alpha_rich,compact_single_domain,ordered,soluble_like,False,True,False,,False,False,,1,0,order_axis,1,False,True,False,False,True,False,True,False,False,external_safe_axis_repair_stack,safe_axis_claimed
holdout_004_alpha_rich_soluble_01,external_holdout:holdout_alpha_family_01:004,locked_external_family_proxy,8fa242e9cb4455b5970502a8b11320b2bf4cf226257447ff71394630006663de,8fa242e9cb4455b5,144,holdout_alpha_family_01,four_helix_bundle_proxy,alpha_rich_soluble,external_fold_family_100,global_chain,insufficient_topology_evidence,False,True,0.0,repeat_like,ordered,ordered,True,0.0,source did not force a fold class for order-axis projection,source did not force a fold class for order-axis projection,0.476861,0.041667,0.125,0.400552,0.430061,0.329909,0.413488,0.348053,0.458566,0.772727,unknown,unknown,0.0,False,repeat/segmentation signals are mixed,0.62744,0.381617,0.270819,0.917327,0.245823,0.414031,weak_or_unknown,ordered,unknown,unknown,alpha_rich,compact_single_domain,ordered,soluble_like,False,False,False,,False,False,,1,0,order_axis,1,False,False,False,False,True,False,True,False,False,external_safe_axis_repair_stack,safe_axis_claimed
holdout_005_alpha_rich_soluble_01,external_holdout:holdout_alpha_family_01:005,locked_external_family_proxy,33741cba2c493b6abd98d4c3ac791b5573289b0feee7df90678f2add11444a0f,33741cba2c493b6a,162,holdout_alpha_family_01,four_helix_bundle_proxy,alpha_rich_soluble,external_fold_family_100,global_chain,insufficient_topology_evidence,False,True,0.0,repeat_like,ordered,ordered,True,0.0,source did not force a fold class for order-axis projection,source did not force a fold class for order-axis projection,0.389319,0.04321,0.067901,0.311434,0.471492,0.370361,0.464267,0.397511,0.503362,0.791209,repeat_like,unknown,0.0,False,repeat_compact_single_domain_ambiguity_quarantine,0.716023,0.434833,0.247389,0.771218,0.28119,0.499834,weak_or_unknown,ordered,unknown,unknown,alpha_rich,compact_single_domain,ordered,soluble_like,False,True,False,,False,False,,1,0,order_axis,1,False,True,False,False,True,False,True,False,False,external_safe_axis_repair_stack,safe_axis_claimed
holdout_006_alpha_rich_soluble_02,external_holdout:holdout_alpha_family_02:006,locked_external_family_proxy,ed59e761e5a80b2837c74a6039d323c5f394ab5a7ee8fc3ef473aabdd6d2b85a,ed59e761e5a80b28,98,holdout_alpha_family_02,globin_like_proxy,alpha_rich_soluble,external_fold_family_100,global_chain,insufficient_topology_evidence,False,True,0.0,low_complexity_region_rich,ordered,ordered,True,0.0,source did not force a fold class for order-axis projection,source did not force a fold class for order-axis projection,0.430435,0.071429,0.112245,0.355457,0.456298,0.363305,0.496803,0.420483,0.550971,0.611111,unknown,unknown,0.0,False,repeat/segmentation signals are mixed,0.554632,0.45584,0.224052,0.869792,0.098792,0.469643,weak_or_unknown,ordered,unknown,unknown,alpha_rich,compact_single_domain,ordered,soluble_like,False,False,False,,False,False,,1,0,order_axis,1,False,False,False,False,True,False,True,False,False,external_safe_axis_repair_stack,safe_axis_claimed
holdout_007_alpha_rich_soluble_02,external_holdout:holdout_alpha_family_02:007,locked_external_family_proxy,40db140b5cd76685e8d20b15676cd3af935a545e8cd8d592828335f6834ee4a0,40db140b5cd76685,114,holdout_alpha_family_02,globin_like_proxy,alpha_rich_soluble,external_fold_family_100,global_chain,insufficient_topology_evidence,False,True,0.0,repeat_like,ordered,ordered,True,0.0,source did not force a fold class for order-axis projection,source did not force a fold class for order-axis projection,0.390318,0.04386,0.087719,0.331832,0.462082,0.36278,0.459993,0.389787,0.508244,0.755556,unknown,unknown,0.0,False,repeat/segmentation signals are mixed,0.604545,0.446892,0.294433,0.880953,0.157653,0.464568,alpha_rich,ordered,unknown,unknown,alpha_rich,compact_single_domain,ordered,soluble_like,False,False,False,,False,False,,2,0,secondary_structure_axis;order_axis,2,False,False,False,False,True,False,True,False,False,external_safe_axis_repair_stack,safe_axis_claimed
holdout_008_alpha_rich_soluble_02,external_holdout:holdout_alpha_family_02:008,locked_external_family_proxy,68ecaa6ee2d1f4525d8f44469488472a76ad41d2a24e78093f2cdb8f935746ae,68ecaa6ee2d1f452,130,holdout_alpha_family_02,globin_like_proxy,alpha_rich_soluble,external_fold_family_100,global_chain,insufficient_topology_evidence,False,True,0.0,repeat_like,ordered,ordered,True,0.0,source did not force a fold class for order-axis projection,source did not force a fold class for order-axis projection,0.424108,0.053846,0.092308,0.362356,0.425791,0.330103,0.412936,0.342143,0.451219,0.781818,repeat_like,unknown,0.0,False,repeat_compact_single_domain_ambiguity_quarantine,0.665228,0.394959,0.284928,0.845239,0.270269,0.441747,weak_or_unknown,ordered,unknown,unknown,alpha_rich,compact_single_domain,ordered,soluble_like,False,True,False,,False,False,,1,0,order_axis,1,False,True,False,False,True,False,True,False,False,external_safe_axis_repair_stack,safe_axis_claimed
holdout_009_alpha_rich_soluble_02,external_holdout:holdout_alpha_family_02:009,locked_external_family_proxy,a9296eb969508d6e5cccf8f14f74b898dc3d9879ce46325ff7fb3fd1ae1322d6,a9296eb969508d6e,146,holdout_alpha_family_02,globin_like_proxy,alpha_rich_soluble,external_fold_family_100,global_chain,insufficient_topology_evidence,False,True,0.0,repeat_like,ordered,ordered,True,0.0,source did not force a fold class for order-axis projection,source did not force a fold class for order-axis projection,0.437216,0.047945,0.116438,0.342876,0.453647,0.352932,0.46403,0.394039,0.519438,0.730769,repeat_like,unknown,0.0,False,repeat_compact_single_domain_ambiguity_quarantine,0.643452,0.431012,0.277901,0.85119,0.21244,0.403611,weak_or_unknown,ordered,unknown,unknown,alpha_rich,compact_single_domain,ordered,soluble_like,False,True,False,,False,False,,1,0,order_axis,1,False,True,False,False,True,False,True,False,False,external_safe_axis_repair_stack,safe_axis_claimed
holdout_010_alpha_rich_soluble_02,external_holdout:holdout_alpha_family_02:010,locked_external_family_proxy,8397aa72b60f408736af41f45a0af0b6ebec414d8004e989805bb62d10c27fe2,8397aa72b60f4087,164,holdout_alpha_family_02,globin_like_proxy,alpha_rich_soluble,external_fold_family_100,global_chain,insufficient_topology_evidence,False,True,0.0,repeat_like,ordered,ordered,True,0.0,source did not force a fold class for order-axis projection,source did not force a fold class for order-axis projection,0.397351,0.042683,0.067073,0.318936,0.471315,0.370616,0.462489,0.393993,0.513933,0.791209,repeat_like,unknown,0.0,False,repeat_compact_single_domain_ambiguity_quarantine,0.718117,0.430178,0.270368,0.856657,0.287939,0.512045,weak_or_unknown,ordered,unknown,unknown,alpha_rich,compact_single_domain,ordered,soluble_like,False,True,False,,False,False,,1,0,order_axis,1,False,True,False,False,True,False,True,False,False,external_safe_axis_repair_stack,safe_axis_claimed
