protein_id,protein_regime,predicted_fold_class,structure_fold_class,label_fold_class,single_class_label_structure_disagreement,orthogonal_axis_disagreement,structure_label_same_axis_conflict,structure_label_same_axis_conflict_axes,true_same_axis_conflict,same_axis_conflict_axes,axis_conflict_axes,forced_prediction,abstained,taxonomy_collapse_reason,manual_review_reasons
pdb_1CYO_A_cytochrome_c2,compact_single_domain,insufficient_topology_evidence,alpha_beta_mixed,alpha_rich,True,False,True,secondary_structure_axis,False,,,False,True,single_class_disagreement_contains_same_axis_conflict,
pdb_1ROP_A_rop_protein,small_peptide_or_fragment,insufficient_topology_evidence,multidomain_boundary,alpha_rich,True,True,False,,False,,,False,True,"single_class_disagreement_is_orthogonal_axis_projection:label_axes=secondary_structure_axis,order_axis;structure_axes=architecture_axis,order_axis",single_class_taxonomy_collapse;fragment_evidence_not_global_fold_truth
pdb_1CUN_A_alpha_spectrin_repeat,compact_single_domain,insufficient_topology_evidence,multidomain_boundary,alpha_rich,True,True,False,,True,architecture_axis,architecture_axis,False,True,"single_class_disagreement_is_orthogonal_axis_projection:label_axes=secondary_structure_axis,order_axis;structure_axes=architecture_axis,order_axis",single_class_taxonomy_collapse;true_same_axis_conflict
pdb_1IGD_A_immunoglobulin_domain,small_peptide_or_fragment,insufficient_topology_evidence,alpha_beta_mixed,beta_rich,True,False,True,secondary_structure_axis,False,,,False,True,single_class_disagreement_contains_same_axis_conflict,fragment_evidence_not_global_fold_truth
pdb_1GFL_A_green_fluorescent_protein,compact_single_domain,insufficient_topology_evidence,multidomain_boundary,beta_rich,True,True,False,,True,architecture_axis,architecture_axis,False,True,"single_class_disagreement_is_orthogonal_axis_projection:label_axes=secondary_structure_axis,order_axis;structure_axes=architecture_axis,order_axis",single_class_taxonomy_collapse;true_same_axis_conflict
pdb_1TIM_A_triosephosphate_isomerase,compact_single_domain,insufficient_topology_evidence,alpha_beta_mixed,alpha_beta_mixed,False,False,False,,True,architecture_axis,architecture_axis,False,True,,true_same_axis_conflict
pdb_4AKE_A_adenylate_kinase,compact_single_domain,insufficient_topology_evidence,alpha_beta_mixed,alpha_beta_mixed,False,False,False,,True,architecture_axis,architecture_axis,False,True,,true_same_axis_conflict
pdb_1UBQ_A_ubiquitin,intrinsically_disordered,insufficient_topology_evidence,beta_rich,alpha_beta_mixed,True,False,True,secondary_structure_axis,False,,,False,True,single_class_disagreement_contains_same_axis_conflict,axis_unscorable
pdb_2CI2_I_chymotrypsin_inhibitor_2,intrinsically_disordered,insufficient_topology_evidence,beta_rich,alpha_beta_mixed,True,False,True,secondary_structure_axis,False,,,False,True,single_class_disagreement_contains_same_axis_conflict,axis_unscorable
pdb_1FKB_A_fk506_binding_protein,ambiguous_regime,insufficient_topology_evidence,beta_rich,alpha_beta_mixed,True,False,True,secondary_structure_axis,False,,,False,True,single_class_disagreement_contains_same_axis_conflict,axis_unscorable
pdb_1CLL_A_calmodulin,compact_single_domain,insufficient_topology_evidence,multidomain_boundary,multidomain_boundary,False,False,False,,True,architecture_axis,architecture_axis,False,True,,true_same_axis_conflict
pdb_1B57_A_fructose_bisphosphate_aldolase,compact_single_domain,insufficient_topology_evidence,alpha_rich,multidomain_boundary,True,True,False,,True,architecture_axis,architecture_axis,False,True,"single_class_disagreement_is_orthogonal_axis_projection:label_axes=architecture_axis,order_axis;structure_axes=secondary_structure_axis,architecture_axis,order_axis",single_class_taxonomy_collapse;true_same_axis_conflict
pdb_1AON_A_groel,multidomain_modular,insufficient_topology_evidence,alpha_beta_mixed,multidomain_boundary,True,False,True,architecture_axis,True,architecture_axis,architecture_axis,False,True,single_class_disagreement_contains_same_axis_conflict,true_same_axis_conflict
pdb_1IGT_B_igg2a_heavy_chain,multidomain_modular,insufficient_topology_evidence,beta_rich,multidomain_boundary,True,True,False,,False,,,False,True,"single_class_disagreement_is_orthogonal_axis_projection:label_axes=architecture_axis,order_axis;structure_axes=secondary_structure_axis,architecture_axis,order_axis",single_class_taxonomy_collapse
pdb_1GTR_A_glutaminyl_trna_synthetase,multidomain_modular,insufficient_topology_evidence,alpha_beta_mixed,multidomain_boundary,True,True,False,,False,,,False,True,"single_class_disagreement_is_orthogonal_axis_projection:label_axes=architecture_axis,order_axis;structure_axes=secondary_structure_axis,architecture_axis,order_axis",single_class_taxonomy_collapse
pdb_1E4M_M_myrosinase,multidomain_modular,insufficient_topology_evidence,alpha_rich,multidomain_boundary,True,True,False,,False,,,False,True,"single_class_disagreement_is_orthogonal_axis_projection:label_axes=architecture_axis,order_axis;structure_axes=secondary_structure_axis,architecture_axis,order_axis",single_class_taxonomy_collapse
pdb_1F88_A_rhodopsin,membrane_like,insufficient_topology_evidence,alpha_rich,multidomain_boundary,True,True,False,,False,,,False,True,"single_class_disagreement_is_orthogonal_axis_projection:label_axes=architecture_axis,order_axis;structure_axes=secondary_structure_axis,architecture_axis,order_axis",single_class_taxonomy_collapse;membrane_regime_not_fold_class
pdb_1GSA_A_glutathione_synthetase,compact_single_domain,insufficient_topology_evidence,alpha_beta_mixed,multidomain_boundary,True,True,False,,True,architecture_axis,architecture_axis,False,True,"single_class_disagreement_is_orthogonal_axis_projection:label_axes=architecture_axis,order_axis;structure_axes=secondary_structure_axis,architecture_axis,order_axis",single_class_taxonomy_collapse;true_same_axis_conflict
pdb_1TUP_A_p53_core_dna_complex,intrinsically_disordered,insufficient_topology_evidence,beta_rich,multidomain_boundary,True,False,True,architecture_axis,False,,,False,True,single_class_disagreement_contains_same_axis_conflict,axis_unscorable
pdb_1LFG_A_lactoferrin,multidomain_modular,insufficient_topology_evidence,alpha_beta_mixed,multidomain_boundary,True,True,False,,False,,,False,True,"single_class_disagreement_is_orthogonal_axis_projection:label_axes=architecture_axis,order_axis;structure_axes=secondary_structure_axis,architecture_axis,order_axis",single_class_taxonomy_collapse
