row_id,source_accession,event_id,direct_coupling_count,direct_coupling_confidence,direct_support_score,future_coupling_count,future_preserved_count,future_preservation_score,blocked_future_count,blocked_future_confidence,blocked_future_pressure,coupling_selectivity_score,constraint_pairs_total,coordinate_truth_used_to_build_constraints,native_truth_used_before_coupling_selection,raw_sequence_exposed
coord_001_pdb_1MBN_A_myoglobin,1MBN:A,273332b35c820a82,0,0,0.0,96,37,0.379246,2,1.83,0.020181,0.291776,96,True,True,False
coord_001_pdb_1MBN_A_myoglobin,1MBN:A,c201fb6781c9a1f7,0,0,0.0,96,27,0.272276,12,11.53,0.12715,0.220132,96,True,True,False
coord_001_pdb_1MBN_A_myoglobin,1MBN:A,e1d5b5868bf3c331,0,0,0.0,96,37,0.379246,3,2.89,0.03187,0.276152,96,True,True,False
coord_001_pdb_1MBN_A_myoglobin,1MBN:A,14e8028404f96235,0,0,0.0,96,39,0.40064,12,11.62,0.128143,0.258156,96,True,True,False
coord_001_pdb_1MBN_A_myoglobin,1MBN:A,2aec2fd5af121b17,4,3.68,1.0,92,24,0.289038,16,14.84,0.163652,0.753812,96,True,True,False
coord_001_pdb_1MBN_A_myoglobin,1MBN:A,83b1f29dc54b255c,0,0,0.0,96,38,0.390494,2,1.83,0.020181,0.277819,96,True,True,False
coord_001_pdb_1MBN_A_myoglobin,1MBN:A,6613ac028a0fd26b,7,6.44,1.0,89,30,0.380679,10,9.29,0.102448,0.805253,96,True,True,False
coord_001_pdb_1MBN_A_myoglobin,1MBN:A,9f5b8dfa0c890b27,0,0,0.0,96,37,0.379246,6,5.72,0.063079,0.248684,96,True,True,False
coord_001_pdb_1MBN_A_myoglobin,1MBN:A,62a61f4f88b69153,0,0,0.0,96,28,0.283524,12,11.53,0.12715,0.203887,96,True,True,False
coord_001_pdb_1MBN_A_myoglobin,1MBN:A,4e0b56f29cc69690,0,0,0.0,96,26,0.263564,18,17.25,0.190229,0.145513,96,True,True,False
