protein_id,sequence_length,topology_evidence_vector_kind,protein_regime_signature_kind,regime_detection_used,protein_regime,reference_regime,regime_accuracy_match,regime_confidence,regime_reason,regime_allowed_gate_path,regime_specific_warning,sequence_complexity,hydrophobic_fraction,hydrophobic_run_fraction,low_complexity_pressure,membrane_pressure,repeat_pressure,compact_single_domain_pressure,multidomain_modular_pressure,intrinsically_disordered_pressure,coiled_coil_or_fibrous_pressure,hierarchical_predicted_fold_class,hierarchical_gate_path,hierarchical_confidence,hierarchical_abstained,hierarchical_high_confidence_wrong,regime_router_changed_prediction,predicted_fold_class,structure_fold_class,label_fold_class,prediction_vs_structure_score,prediction_vs_label_score,prediction_structure_class_match,prediction_label_class_match,confidence,uncertainty_radius,claim_strength,forced_prediction,abstained,high_confidence_wrong,gate_path,gate_decision_reason,structure_label_disagreement,ambiguous_reference,possible_bad_row,structure_source_quality,length_bucket,compactness_bucket,disorder_bucket,segmentation_bucket,contact_density_bucket,long_range_contact_bucket,folding_problem_solved,folding_solution_claim_created,manual_review_required,manual_review_reasons,failure_cohort
pdb_1MBN_A_myoglobin,153,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,compact_single_domain,compact_single_domain,True,0.682968,compact closure is the least risky broad regime under current gates,secondary_structure_gate_or_abstain,,0.90672,0.424837,0.019608,0.461434,1.0,0.192957,0.530876,0.280365,0.384484,0.442975,alpha_rich,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:alpha_periodic_compact | confidence_gate:forced_low_claim_strength,0.5991,False,False,False,alpha_rich,alpha_rich,alpha_rich,0.827781,0.842046,True,True,0.5991,0.336281,medium,True,False,False,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:alpha_periodic_compact | confidence_gate:forced_low_claim_strength | regime_router:accepted_compact_single_domain,"alpha interpretation requires local alpha pressure, periodic support, compact core, and limited disorder pressure; compact-single-domain regime accepts secondary-structure gate output",False,False,False,coordinate_contact_graph,medium_140_259,mid,low,mid,mid,mid,False,False,False,,correct_forced
pdb_2LZM_A_t4_lysozyme,164,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,compact_single_domain,compact_single_domain,True,0.699286,compact closure is the least risky broad regime under current gates,secondary_structure_gate_or_abstain,,0.948609,0.432927,0.02439,0.38898,1.0,0.229421,0.569729,0.253077,0.283743,0.438042,alpha_rich,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:alpha_periodic_compact | confidence_gate:forced_low_claim_strength,0.507516,False,False,False,alpha_rich,alpha_rich,alpha_rich,0.797362,0.863255,True,True,0.507516,0.364855,weak,True,False,False,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:alpha_periodic_compact | confidence_gate:forced_low_claim_strength | regime_router:accepted_compact_single_domain,"alpha interpretation requires local alpha pressure, periodic support, compact core, and limited disorder pressure; compact-single-domain regime accepts secondary-structure gate output",False,False,False,coordinate_contact_graph,medium_140_259,mid,low,mid,mid,mid,False,False,False,,correct_forced
pdb_1FLP_A_hemoglobin_i,142,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,compact_single_domain,compact_single_domain,True,0.680901,compact closure is the least risky broad regime under current gates,secondary_structure_gate_or_abstain,,0.897158,0.464789,0.042254,0.453705,1.0,0.262305,0.525954,0.225301,0.399517,0.446049,alpha_rich,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:forced_low_claim_strength,0.366032,False,False,False,alpha_rich,alpha_rich,alpha_rich,0.863768,0.860499,True,True,0.366032,0.408998,weak,True,False,False,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:forced_low_claim_strength | regime_router:accepted_compact_single_domain,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; compact-single-domain regime accepts secondary-structure gate output,False,False,False,coordinate_contact_graph,medium_140_259,mid,low,mid,mid,mid,False,False,False,,correct_forced
pdb_1R69_A_lambda_repressor_ntd,69,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,small_peptide_or_fragment,small_peptide_or_fragment,True,0.813333,sequence length is below the broad-fold context needed by the current gates,abstain_until_fragment_context_exists,,0.877649,0.333333,0.043478,0.514528,1.0,0.168064,0.388711,0.192527,0.553929,0.222339,insufficient_topology_evidence,disorder_gate:foldable_not_ruled_out | compactness_gate:weak_closure_abstain | segmentation_gate:not_evaluated | secondary_structure_gate:not_evaluated | confidence_gate:abstained,0.0,True,False,False,insufficient_topology_evidence,alpha_rich,alpha_rich,0.685145,0.768693,False,False,0.0,0.7872,abstained,False,True,False,disorder_gate:foldable_not_ruled_out | compactness_gate:weak_closure_abstain | segmentation_gate:not_evaluated | secondary_structure_gate:not_evaluated | confidence_gate:abstained | regime_router:kept_hierarchy_abstention,compactness and closure are too weak to force a fold class; regime router kept abstention for small_peptide_or_fragment,False,True,False,short_coordinate_fragment,fragment_lt70,low,mid,low,high,mid,False,False,True,ambiguous_reference,abstained_on_regime_risk
pdb_2MHR_A_myohemerythrin,118,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,compact_single_domain,compact_single_domain,True,0.712478,compact closure is the least risky broad regime under current gates,secondary_structure_gate_or_abstain,,0.951012,0.415254,0.025424,0.385751,1.0,0.203638,0.601139,0.27063,0.300872,0.308139,insufficient_topology_evidence,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:mixed_supported_but_weak | confidence_gate:abstained_low_decision_margin,0.323895,True,False,False,insufficient_topology_evidence,alpha_rich,alpha_rich,0.821535,0.864216,False,False,0.323895,0.7872,abstained,False,True,False,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:mixed_supported_but_weak | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention,"mixed alpha/beta evidence exists, but the confidence gate must decide whether the local signals are stable enough; confidence gate abstained on low decision margin; regime router kept abstention for compact_single_domain",False,False,False,coordinate_contact_graph,small_70_139,high,low,mid,mid,mid,False,False,False,,abstained_unresolved
pdb_1CYO_A_cytochrome_c2,93,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,compact_single_domain,compact_single_domain,True,0.654237,compact closure is the least risky broad regime under current gates,secondary_structure_gate_or_abstain,,0.919748,0.311828,0.043011,0.4286,1.0,0.166848,0.462469,0.227371,0.490309,0.235815,insufficient_topology_evidence,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin,0.282243,True,False,False,insufficient_topology_evidence,alpha_beta_mixed,alpha_rich,0.783546,0.831028,False,False,0.282243,0.7872,abstained,False,True,False,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin; regime router kept abstention for compact_single_domain,True,True,False,coordinate_contact_graph,small_70_139,mid,low,low,mid,mid,False,False,True,structure_label_disagreement;ambiguous_reference,abstained_on_structure_label_disagreement
pdb_1ROP_A_rop_protein,63,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,small_peptide_or_fragment,small_peptide_or_fragment,True,0.84,sequence length is below the broad-fold context needed by the current gates,abstain_until_fragment_context_exists,,0.887012,0.396825,0.047619,0.453652,1.0,0.22708,0.600154,0.288146,0.24684,0.396613,alpha_rich,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:alpha_periodic_compact | confidence_gate:forced_low_claim_strength,0.640532,False,True,True,insufficient_topology_evidence,multidomain_boundary,alpha_rich,0.7482,0.845507,False,False,0.0,0.596,abstained,False,True,False,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:alpha_periodic_compact | confidence_gate:forced_low_claim_strength | regime_router:abstained_small_peptide_or_fragment,sequence length is below the broad-fold context needed by the current gates; regime router abstained before accepting a broad fold-class claim,True,True,True,short_coordinate_fragment,fragment_lt70,high,low,mid,high,low,False,False,True,structure_label_disagreement;ambiguous_reference;possible_bad_row,regime_prevented_high_confidence_wrong
pdb_1GAB_A_albumin_binding_domain,53,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,small_peptide_or_fragment,small_peptide_or_fragment,True,0.884444,sequence length is below the broad-fold context needed by the current gates,abstain_until_fragment_context_exists,,0.834281,0.471698,0.056604,0.457456,1.0,0.214818,0.686646,0.28492,0.095094,0.427524,alpha_rich,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:alpha_periodic_compact | confidence_gate:forced_low_claim_strength,0.593505,False,False,True,insufficient_topology_evidence,alpha_rich,alpha_rich,0.807978,0.82999,False,False,0.0,0.591556,abstained,False,True,False,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:alpha_periodic_compact | confidence_gate:forced_low_claim_strength | regime_router:abstained_small_peptide_or_fragment,sequence length is below the broad-fold context needed by the current gates; regime router abstained before accepting a broad fold-class claim,False,True,False,short_coordinate_fragment,fragment_lt70,high,low,mid,high,low,False,False,True,ambiguous_reference,abstained_on_regime_risk
pdb_256B_A_cytochrome_b562,106,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,compact_single_domain,compact_single_domain,True,0.697233,compact closure is the least risky broad regime under current gates,secondary_structure_gate_or_abstain,,0.88717,0.386792,0.037736,0.448482,1.0,0.23268,0.56484,0.261964,0.323492,0.379814,alpha_rich,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:alpha_periodic_compact | confidence_gate:forced_low_claim_strength,0.641849,False,False,False,alpha_rich,alpha_rich,alpha_rich,0.820322,0.858556,True,True,0.641849,0.322943,medium,True,False,False,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:alpha_periodic_compact | confidence_gate:forced_low_claim_strength | regime_router:accepted_compact_single_domain,"alpha interpretation requires local alpha pressure, periodic support, compact core, and limited disorder pressure; compact-single-domain regime accepts secondary-structure gate output",False,False,False,coordinate_contact_graph,small_70_139,high,low,mid,mid,mid,False,False,False,,correct_forced
pdb_1CUN_A_alpha_spectrin_repeat,213,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,compact_single_domain,multidomain_modular,False,0.679073,compact closure is the least risky broad regime under current gates,secondary_structure_gate_or_abstain,,0.920898,0.375587,0.018779,0.437853,1.0,0.285056,0.521603,0.337835,0.320813,0.421914,multidomain_boundary,disorder_gate:foldable_candidate | compactness_gate:compact_closure_supported | segmentation_gate:folded_multidomain_supported | secondary_structure_gate:skipped_by_segmentation_gate | confidence_gate:forced_low_claim_strength,0.4725,False,False,True,insufficient_topology_evidence,multidomain_boundary,alpha_rich,0.777585,0.84802,False,False,0.0,0.612093,abstained,False,True,False,disorder_gate:foldable_candidate | compactness_gate:compact_closure_supported | segmentation_gate:folded_multidomain_supported | secondary_structure_gate:skipped_by_segmentation_gate | confidence_gate:forced_low_claim_strength | regime_router:abstained_compact_domain_conflict,compact-single-domain regime conflicts with boundary/disorder class,True,True,False,coordinate_contact_graph,medium_140_259,mid,low,mid,mid,mid,False,False,True,structure_label_disagreement;ambiguous_reference,abstained_on_structure_label_disagreement
pdb_1TEN_A_tenascin_fn3,90,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,compact_single_domain,compact_single_domain,True,0.65679,compact closure is the least risky broad regime under current gates,secondary_structure_gate_or_abstain,,0.906303,0.333333,0.033333,0.414913,1.0,0.169258,0.468547,0.217588,0.43793,0.171474,beta_rich,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:beta_pairing_supported | confidence_gate:forced_low_claim_strength,0.431141,False,False,False,beta_rich,beta_rich,beta_rich,0.69912,0.891548,True,True,0.431141,0.388684,weak,True,False,False,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:beta_pairing_supported | confidence_gate:forced_low_claim_strength | regime_router:accepted_compact_single_domain,beta interpretation requires alternation plus local beta pressure and sheet/contact-pairing support; compact-single-domain regime accepts secondary-structure gate output,False,False,False,coordinate_contact_graph,small_70_139,mid,low,low,mid,high,False,False,False,,correct_forced
