row_id,external_family_id,external_family_group,length,truth_scope,protein_regime,source_predicted_fold_class,architecture_axis_abstention_reason,truth_secondary_structure_axis,truth_architecture_axis,truth_order_axis,truth_environment_axis,failure_cohort
holdout_001_alpha_rich_soluble_01,holdout_alpha_family_01,alpha_rich_soluble,96,global_chain,low_complexity_region_rich,insufficient_topology_evidence,repeat/segmentation signals are mixed,alpha_rich,compact_single_domain,ordered,soluble_like,safe_axis_claimed
holdout_002_alpha_rich_soluble_01,holdout_alpha_family_01,alpha_rich_soluble,112,global_chain,repeat_like,insufficient_topology_evidence,repeat/segmentation signals are mixed,alpha_rich,compact_single_domain,ordered,soluble_like,safe_axis_claimed
holdout_004_alpha_rich_soluble_01,holdout_alpha_family_01,alpha_rich_soluble,144,global_chain,repeat_like,insufficient_topology_evidence,repeat/segmentation signals are mixed,alpha_rich,compact_single_domain,ordered,soluble_like,safe_axis_claimed
holdout_006_alpha_rich_soluble_02,holdout_alpha_family_02,alpha_rich_soluble,98,global_chain,low_complexity_region_rich,insufficient_topology_evidence,repeat/segmentation signals are mixed,alpha_rich,compact_single_domain,ordered,soluble_like,safe_axis_claimed
holdout_007_alpha_rich_soluble_02,holdout_alpha_family_02,alpha_rich_soluble,114,global_chain,repeat_like,insufficient_topology_evidence,repeat/segmentation signals are mixed,alpha_rich,compact_single_domain,ordered,soluble_like,safe_axis_claimed
holdout_011_alpha_rich_soluble_03,holdout_alpha_family_03,alpha_rich_soluble,100,global_chain,repeat_like,insufficient_topology_evidence,repeat/segmentation signals are mixed,alpha_rich,compact_single_domain,ordered,soluble_like,safe_axis_claimed
holdout_016_alpha_rich_soluble_04,holdout_alpha_family_04,alpha_rich_soluble,102,global_chain,intrinsically_disordered,insufficient_topology_evidence,repeat/segmentation signals are mixed,alpha_rich,compact_single_domain,ordered,soluble_like,disorder_folded_domain_mimic
holdout_019_alpha_rich_soluble_04,holdout_alpha_family_04,alpha_rich_soluble,150,global_chain,repeat_like,insufficient_topology_evidence,repeat/segmentation signals are mixed,alpha_rich,compact_single_domain,ordered,soluble_like,safe_axis_claimed
holdout_021_beta_rich_01,holdout_beta_family_01,beta_rich,82,global_chain,repeat_like,insufficient_topology_evidence,repeat/segmentation signals are mixed,beta_rich,compact_single_domain,ordered,soluble_like,beta_rich_low_complexity_confusion
holdout_022_beta_rich_01,holdout_beta_family_01,beta_rich,94,global_chain,intrinsically_disordered,insufficient_topology_evidence,repeat/segmentation signals are mixed,beta_rich,compact_single_domain,ordered,soluble_like,beta_rich_low_complexity_confusion
holdout_023_beta_rich_01,holdout_beta_family_01,beta_rich,108,global_chain,intrinsically_disordered,disordered_flexible,repeat/segmentation signals are mixed,beta_rich,compact_single_domain,ordered,soluble_like,order_axis_conflict
holdout_024_beta_rich_01,holdout_beta_family_01,beta_rich,122,global_chain,repeat_like,insufficient_topology_evidence,repeat/segmentation signals are mixed,beta_rich,compact_single_domain,ordered,soluble_like,beta_rich_low_complexity_confusion
holdout_025_beta_rich_01,holdout_beta_family_01,beta_rich,136,global_chain,intrinsically_disordered,disordered_flexible,repeat/segmentation signals are mixed,beta_rich,compact_single_domain,ordered,soluble_like,order_axis_conflict
holdout_026_beta_rich_02,holdout_beta_family_02,beta_rich,83,global_chain,repeat_like,insufficient_topology_evidence,repeat/segmentation signals are mixed,beta_rich,compact_single_domain,ordered,soluble_like,beta_rich_low_complexity_confusion
holdout_027_beta_rich_02,holdout_beta_family_02,beta_rich,95,global_chain,intrinsically_disordered,insufficient_topology_evidence,repeat/segmentation signals are mixed,beta_rich,compact_single_domain,ordered,soluble_like,beta_rich_low_complexity_confusion
holdout_028_beta_rich_02,holdout_beta_family_02,beta_rich,109,global_chain,intrinsically_disordered,disordered_flexible,repeat/segmentation signals are mixed,beta_rich,compact_single_domain,ordered,soluble_like,order_axis_conflict
holdout_030_beta_rich_02,holdout_beta_family_02,beta_rich,137,global_chain,intrinsically_disordered,disordered_flexible,repeat/segmentation signals are mixed,beta_rich,compact_single_domain,ordered,soluble_like,order_axis_conflict
holdout_031_beta_rich_03,holdout_beta_family_03,beta_rich,84,global_chain,intrinsically_disordered,insufficient_topology_evidence,repeat/segmentation signals are mixed,beta_rich,compact_single_domain,ordered,soluble_like,beta_rich_low_complexity_confusion
holdout_032_beta_rich_03,holdout_beta_family_03,beta_rich,96,global_chain,repeat_like,insufficient_topology_evidence,repeat/segmentation signals are mixed,beta_rich,compact_single_domain,ordered,soluble_like,beta_rich_low_complexity_confusion
holdout_033_beta_rich_03,holdout_beta_family_03,beta_rich,110,global_chain,intrinsically_disordered,disordered_flexible,repeat/segmentation signals are mixed,beta_rich,compact_single_domain,ordered,soluble_like,order_axis_conflict
holdout_035_beta_rich_03,holdout_beta_family_03,beta_rich,138,global_chain,intrinsically_disordered,disordered_flexible,repeat/segmentation signals are mixed,beta_rich,compact_single_domain,ordered,soluble_like,order_axis_conflict
holdout_036_beta_rich_04,holdout_beta_family_04,beta_rich,85,global_chain,intrinsically_disordered,insufficient_topology_evidence,repeat/segmentation signals are mixed,beta_rich,compact_single_domain,ordered,soluble_like,beta_rich_low_complexity_confusion
holdout_037_beta_rich_04,holdout_beta_family_04,beta_rich,97,global_chain,repeat_like,insufficient_topology_evidence,repeat/segmentation signals are mixed,beta_rich,compact_single_domain,ordered,soluble_like,beta_rich_low_complexity_confusion
holdout_038_beta_rich_04,holdout_beta_family_04,beta_rich,111,global_chain,ambiguous_regime,insufficient_topology_evidence,repeat/segmentation signals are mixed,beta_rich,compact_single_domain,ordered,soluble_like,beta_rich_low_complexity_confusion
holdout_039_beta_rich_04,holdout_beta_family_04,beta_rich,125,global_chain,repeat_like,insufficient_topology_evidence,repeat/segmentation signals are mixed,beta_rich,compact_single_domain,ordered,soluble_like,beta_rich_low_complexity_confusion
holdout_040_beta_rich_04,holdout_beta_family_04,beta_rich,139,global_chain,intrinsically_disordered,disordered_flexible,repeat/segmentation signals are mixed,beta_rich,compact_single_domain,ordered,soluble_like,order_axis_conflict
