protein_id,protein_regime,source_predicted_fold_class,profile_global_fold_class,profile_secondary_structure_axis,profile_architecture_axis,profile_order_axis,profile_environment_axis,safe_axis_recovered_axes,safe_axis_recovered_count,axis_profile_same_axis_conflict,axis_profile_conflict_axes,gate_path
pdb_1R69_A_lambda_repressor_ntd,small_peptide_or_fragment,insufficient_topology_evidence,insufficient_topology_evidence,weak_or_unknown,fragment_scope,mixed_or_uncertain,unknown,architecture_axis,1,False,,disorder_gate:foldable_not_ruled_out | compactness_gate:weak_closure_abstain | segmentation_gate:not_evaluated | secondary_structure_gate:not_evaluated | confidence_gate:abstained | regime_router:kept_hierarchy_abstention
pdb_2MHR_A_myohemerythrin,compact_single_domain,insufficient_topology_evidence,insufficient_topology_evidence,weak_or_unknown,unknown,ordered,unknown,order_axis,1,False,,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:mixed_supported_but_weak | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention
pdb_1CYO_A_cytochrome_c2,compact_single_domain,insufficient_topology_evidence,insufficient_topology_evidence,weak_or_unknown,unknown,ordered,unknown,order_axis,1,False,,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention
pdb_1ROP_A_rop_protein,small_peptide_or_fragment,insufficient_topology_evidence,insufficient_topology_evidence,alpha_rich,fragment_scope,ordered,unknown,secondary_structure_axis;architecture_axis;order_axis,3,False,,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:alpha_periodic_compact | confidence_gate:forced_low_claim_strength | regime_router:abstained_small_peptide_or_fragment
pdb_1GAB_A_albumin_binding_domain,small_peptide_or_fragment,insufficient_topology_evidence,insufficient_topology_evidence,alpha_rich,fragment_scope,ordered,unknown,secondary_structure_axis;architecture_axis;order_axis,3,False,,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:alpha_periodic_compact | confidence_gate:forced_low_claim_strength | regime_router:abstained_small_peptide_or_fragment
pdb_1CUN_A_alpha_spectrin_repeat,compact_single_domain,insufficient_topology_evidence,insufficient_topology_evidence,weak_or_unknown,unknown,ordered,unknown,order_axis,1,False,,disorder_gate:foldable_candidate | compactness_gate:compact_closure_supported | segmentation_gate:folded_multidomain_supported | secondary_structure_gate:skipped_by_segmentation_gate | confidence_gate:forced_low_claim_strength | regime_router:abstained_compact_domain_conflict
pdb_1CSP_A_cold_shock_protein,small_peptide_or_fragment,insufficient_topology_evidence,insufficient_topology_evidence,weak_or_unknown,fragment_scope,ordered,unknown,architecture_axis;order_axis,2,False,,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention
pdb_1SHG_A_src_sh3_domain,small_peptide_or_fragment,insufficient_topology_evidence,insufficient_topology_evidence,weak_or_unknown,fragment_scope,ordered,unknown,architecture_axis;order_axis,2,False,,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:mixed_supported_but_weak | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention
pdb_1TIT_A_titin_i27,compact_single_domain,insufficient_topology_evidence,insufficient_topology_evidence,weak_or_unknown,unknown,ordered,unknown,order_axis,1,False,,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:mixed_supported_but_weak | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention
pdb_2PTL_A_protein_l_domain,compact_single_domain,insufficient_topology_evidence,insufficient_topology_evidence,weak_or_unknown,unknown,ordered,unknown,order_axis,1,False,,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention
pdb_1IGD_A_immunoglobulin_domain,small_peptide_or_fragment,insufficient_topology_evidence,insufficient_topology_evidence,weak_or_unknown,fragment_scope,ordered,unknown,architecture_axis;order_axis,2,False,,disorder_gate:foldable_candidate | compactness_gate:compact_closure_supported | segmentation_gate:folded_multidomain_supported | secondary_structure_gate:skipped_by_segmentation_gate | confidence_gate:forced_low_claim_strength | regime_router:abstained_small_peptide_or_fragment
