protein_id,sequence_length,axis_profile_signature_kind,source_axis_signature_kind,protein_regime,source_predicted_fold_class,profile_global_fold_class,source_forced_prediction,source_abstained,confidence,gate_path,gate_decision_reason,global_class_claim_allowed,collapsed_class_recovered,unsafe_class_recovery,profile_secondary_structure_axis,profile_secondary_structure_claim_allowed,profile_secondary_structure_claim_reason,adjudicated_truth_secondary_structure_axis,secondary_structure_axis_scorable,secondary_structure_axis_match,profile_architecture_axis,profile_architecture_claim_allowed,profile_architecture_claim_reason,adjudicated_truth_architecture_axis,architecture_axis_scorable,architecture_axis_match,profile_order_axis,profile_order_claim_allowed,profile_order_claim_reason,adjudicated_truth_order_axis,order_axis_scorable,order_axis_match,profile_environment_axis,profile_environment_claim_allowed,profile_environment_claim_reason,adjudicated_truth_environment_axis,environment_axis_scorable,environment_axis_match,axis_profile_claim_count,axis_profile_has_claim,axis_profile_same_axis_conflict,axis_profile_conflict_axes,axis_profile_scorable_count,axis_profile_match_count,safe_axis_recovered_axes,safe_axis_recovered_count,guard_override,folding_problem_solved,folding_solution_claim_created,drug_design_created,molecule_generated,protein_sequence_design_created
pdb_1MBN_A_myoglobin,153,axis_safe_partial_fold_profile,orthogonal_fold_axis_projection,compact_single_domain,alpha_rich,insufficient_topology_evidence,True,False,0.5991,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:alpha_periodic_compact | confidence_gate:forced_low_claim_strength | regime_router:accepted_compact_single_domain,"alpha interpretation requires local alpha pressure, periodic support, compact core, and limited disorder pressure; compact-single-domain regime accepts secondary-structure gate output",False,False,False,alpha_rich,True,source_forced_class_projected_to_secondary_axis,alpha_rich,True,True,unknown,False,,compact_single_domain,False,False,ordered,True,source_forced_folded_class_projected_to_order_axis,ordered,True,True,unknown,False,,unknown,False,False,2,True,False,,2,2,,0,False,False,False,False,False,False
pdb_2LZM_A_t4_lysozyme,164,axis_safe_partial_fold_profile,orthogonal_fold_axis_projection,compact_single_domain,alpha_rich,insufficient_topology_evidence,True,False,0.507516,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:alpha_periodic_compact | confidence_gate:forced_low_claim_strength | regime_router:accepted_compact_single_domain,"alpha interpretation requires local alpha pressure, periodic support, compact core, and limited disorder pressure; compact-single-domain regime accepts secondary-structure gate output",False,False,False,alpha_rich,True,source_forced_class_projected_to_secondary_axis,alpha_rich,True,True,unknown,False,,compact_single_domain,False,False,ordered,True,source_forced_folded_class_projected_to_order_axis,ordered,True,True,unknown,False,,unknown,False,False,2,True,False,,2,2,,0,False,False,False,False,False,False
pdb_1FLP_A_hemoglobin_i,142,axis_safe_partial_fold_profile,orthogonal_fold_axis_projection,compact_single_domain,alpha_rich,insufficient_topology_evidence,True,False,0.366032,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:forced_low_claim_strength | regime_router:accepted_compact_single_domain,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; compact-single-domain regime accepts secondary-structure gate output,False,False,False,alpha_rich,True,source_forced_class_projected_to_secondary_axis,alpha_rich,True,True,unknown,False,,compact_single_domain,False,False,ordered,True,source_forced_folded_class_projected_to_order_axis,ordered,True,True,unknown,False,,unknown,False,False,2,True,False,,2,2,,0,False,False,False,False,False,False
pdb_1R69_A_lambda_repressor_ntd,69,axis_safe_partial_fold_profile,orthogonal_fold_axis_projection,small_peptide_or_fragment,insufficient_topology_evidence,insufficient_topology_evidence,False,True,0.0,disorder_gate:foldable_not_ruled_out | compactness_gate:weak_closure_abstain | segmentation_gate:not_evaluated | secondary_structure_gate:not_evaluated | confidence_gate:abstained | regime_router:kept_hierarchy_abstention,compactness and closure are too weak to force a fold class; regime router kept abstention for small_peptide_or_fragment,False,False,False,weak_or_unknown,False,,alpha_rich,False,False,fragment_scope,True,recovered_fragment_scope_from_regime,fragment_scope,True,True,mixed_or_uncertain,False,,ordered,False,False,unknown,False,,unknown,False,False,1,True,False,,1,1,architecture_axis,1,False,False,False,False,False,False
pdb_2MHR_A_myohemerythrin,118,axis_safe_partial_fold_profile,orthogonal_fold_axis_projection,compact_single_domain,insufficient_topology_evidence,insufficient_topology_evidence,False,True,0.323895,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:mixed_supported_but_weak | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention,"mixed alpha/beta evidence exists, but the confidence gate must decide whether the local signals are stable enough; confidence gate abstained on low decision margin; regime router kept abstention for compact_single_domain",False,False,False,weak_or_unknown,False,,alpha_rich,False,False,unknown,False,,compact_single_domain,False,False,ordered,True,recovered_from_foldable_compact_axis_evidence,ordered,True,True,unknown,False,,unknown,False,False,1,True,False,,1,1,order_axis,1,False,False,False,False,False,False
pdb_1CYO_A_cytochrome_c2,93,axis_safe_partial_fold_profile,orthogonal_fold_axis_projection,compact_single_domain,insufficient_topology_evidence,insufficient_topology_evidence,False,True,0.282243,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin; regime router kept abstention for compact_single_domain,False,False,False,weak_or_unknown,False,,alpha_beta_mixed,False,False,unknown,False,,compact_single_domain,False,False,ordered,True,recovered_from_foldable_compact_axis_evidence,ordered,True,True,unknown,False,,unknown,False,False,1,True,False,,1,1,order_axis,1,False,False,False,False,False,False
pdb_1ROP_A_rop_protein,63,axis_safe_partial_fold_profile,orthogonal_fold_axis_projection,small_peptide_or_fragment,insufficient_topology_evidence,insufficient_topology_evidence,False,True,0.0,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:alpha_periodic_compact | confidence_gate:forced_low_claim_strength | regime_router:abstained_small_peptide_or_fragment,sequence length is below the broad-fold context needed by the current gates; regime router abstained before accepting a broad fold-class claim,False,False,False,alpha_rich,True,recovered_from_specific_alpha_periodic_secondary_gate,alpha_rich,True,True,fragment_scope,True,recovered_fragment_scope_from_regime,fragment_scope,True,True,ordered,True,recovered_from_foldable_compact_axis_evidence,ordered,True,True,unknown,False,,unknown,False,False,3,True,False,,3,3,secondary_structure_axis;architecture_axis;order_axis,3,False,False,False,False,False,False
pdb_1GAB_A_albumin_binding_domain,53,axis_safe_partial_fold_profile,orthogonal_fold_axis_projection,small_peptide_or_fragment,insufficient_topology_evidence,insufficient_topology_evidence,False,True,0.0,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:alpha_periodic_compact | confidence_gate:forced_low_claim_strength | regime_router:abstained_small_peptide_or_fragment,sequence length is below the broad-fold context needed by the current gates; regime router abstained before accepting a broad fold-class claim,False,False,False,alpha_rich,True,recovered_from_specific_alpha_periodic_secondary_gate,alpha_rich,True,True,fragment_scope,True,recovered_fragment_scope_from_regime,fragment_scope,True,True,ordered,True,recovered_from_foldable_compact_axis_evidence,ordered,True,True,unknown,False,,unknown,False,False,3,True,False,,3,3,secondary_structure_axis;architecture_axis;order_axis,3,False,False,False,False,False,False
pdb_256B_A_cytochrome_b562,106,axis_safe_partial_fold_profile,orthogonal_fold_axis_projection,compact_single_domain,alpha_rich,insufficient_topology_evidence,True,False,0.641849,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:alpha_periodic_compact | confidence_gate:forced_low_claim_strength | regime_router:accepted_compact_single_domain,"alpha interpretation requires local alpha pressure, periodic support, compact core, and limited disorder pressure; compact-single-domain regime accepts secondary-structure gate output",False,False,False,alpha_rich,True,source_forced_class_projected_to_secondary_axis,alpha_rich,True,True,unknown,False,,compact_single_domain,False,False,ordered,True,source_forced_folded_class_projected_to_order_axis,ordered,True,True,unknown,False,,unknown,False,False,2,True,False,,2,2,,0,False,False,False,False,False,False
pdb_1CUN_A_alpha_spectrin_repeat,213,axis_safe_partial_fold_profile,orthogonal_fold_axis_projection,compact_single_domain,insufficient_topology_evidence,insufficient_topology_evidence,False,True,0.0,disorder_gate:foldable_candidate | compactness_gate:compact_closure_supported | segmentation_gate:folded_multidomain_supported | secondary_structure_gate:skipped_by_segmentation_gate | confidence_gate:forced_low_claim_strength | regime_router:abstained_compact_domain_conflict,compact-single-domain regime conflicts with boundary/disorder class,False,False,False,weak_or_unknown,False,,alpha_rich,False,False,unknown,False,,multidomain_or_segmented,False,False,ordered,True,recovered_from_foldable_compact_axis_evidence,ordered,True,True,unknown,False,,unknown,False,False,1,True,False,,1,1,order_axis,1,False,False,False,False,False,False
pdb_1TEN_A_tenascin_fn3,90,axis_safe_partial_fold_profile,orthogonal_fold_axis_projection,compact_single_domain,beta_rich,insufficient_topology_evidence,True,False,0.431141,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:beta_pairing_supported | confidence_gate:forced_low_claim_strength | regime_router:accepted_compact_single_domain,beta interpretation requires alternation plus local beta pressure and sheet/contact-pairing support; compact-single-domain regime accepts secondary-structure gate output,False,False,False,beta_rich,True,source_forced_class_projected_to_secondary_axis,beta_rich,True,True,unknown,False,,compact_single_domain,False,False,ordered,True,source_forced_folded_class_projected_to_order_axis,ordered,True,True,unknown,False,,unknown,False,False,2,True,False,,2,2,,0,False,False,False,False,False,False
