failure_cohort,family_group,length_band,truth_scope,environment_axis,architecture_axis,secondary_structure_axis,order_axis,abstention_reason,row_count,conflict_count,abstention_count,example_rows,prediction_source_layer
safe_axis_claimed,membrane_like,medium_140_259,global_chain,membrane_like,unknown,alpha_rich,ordered,membrane segmentation can reflect helices rather than global domains,12,0,0,holdout_062_membrane_like_01;holdout_063_membrane_like_01;holdout_064_membrane_like_01;holdout_065_membrane_like_01;holdout_067_membrane_like_02;holdout_068_membrane_like_02,current_safe_axis_stack
beta_rich_low_complexity_confusion,beta_rich,small_70_139,global_chain,soluble_like,compact_single_domain,beta_rich,ordered,repeat/segmentation signals are mixed,11,0,11,holdout_021_beta_rich_01;holdout_022_beta_rich_01;holdout_024_beta_rich_01;holdout_026_beta_rich_02;holdout_027_beta_rich_02;holdout_031_beta_rich_03,current_safe_axis_stack
order_axis_conflict,beta_rich,small_70_139,global_chain,soluble_like,compact_single_domain,beta_rich,ordered,repeat/segmentation signals are mixed,7,7,0,holdout_023_beta_rich_01;holdout_025_beta_rich_01;holdout_028_beta_rich_02;holdout_030_beta_rich_02;holdout_033_beta_rich_03;holdout_035_beta_rich_03,current_safe_axis_stack
order_axis_conflict,alpha_beta_mixed,small_70_139,global_chain,soluble_like,compact_single_domain,alpha_beta_mixed,ordered,repeat/segmentation signals are mixed,7,7,0,holdout_041_alpha_beta_mixed_01;holdout_042_alpha_beta_mixed_01;holdout_046_alpha_beta_mixed_02;holdout_047_alpha_beta_mixed_02;holdout_051_alpha_beta_mixed_03;holdout_056_alpha_beta_mixed_04,current_safe_axis_stack
alpha_beta_boundary_ambiguity,alpha_beta_mixed,medium_140_259,global_chain,soluble_like,compact_single_domain,alpha_beta_mixed,ordered,repeat/segmentation signals are mixed,6,0,6,holdout_045_alpha_beta_mixed_01;holdout_048_alpha_beta_mixed_02;holdout_050_alpha_beta_mixed_02;holdout_053_alpha_beta_mixed_03;holdout_055_alpha_beta_mixed_03;holdout_058_alpha_beta_mixed_04,current_safe_axis_stack
architecture_axis_conflict,alpha_rich_soluble,small_70_139,global_chain,soluble_like,compact_single_domain,alpha_rich,ordered,,6,6,0,holdout_003_alpha_rich_soluble_01;holdout_008_alpha_rich_soluble_02;holdout_012_alpha_rich_soluble_03;holdout_013_alpha_rich_soluble_03;holdout_017_alpha_rich_soluble_04;holdout_018_alpha_rich_soluble_04,current_safe_axis_stack
architecture_axis_conflict,alpha_rich_soluble,medium_140_259,global_chain,soluble_like,compact_single_domain,alpha_rich,ordered,,6,6,0,holdout_005_alpha_rich_soluble_01;holdout_009_alpha_rich_soluble_02;holdout_010_alpha_rich_soluble_02;holdout_014_alpha_rich_soluble_03;holdout_015_alpha_rich_soluble_03;holdout_020_alpha_rich_soluble_04,current_safe_axis_stack
order_axis_conflict,alpha_beta_mixed,medium_140_259,global_chain,soluble_like,compact_single_domain,alpha_beta_mixed,ordered,repeat/segmentation signals are mixed,6,6,0,holdout_043_alpha_beta_mixed_01;holdout_044_alpha_beta_mixed_01;holdout_049_alpha_beta_mixed_02;holdout_054_alpha_beta_mixed_03;holdout_059_alpha_beta_mixed_04;holdout_060_alpha_beta_mixed_04,current_safe_axis_stack
safe_axis_claimed,disordered_or_mixed_order,medium_140_259,uncertain,unknown,unknown,weak_or_unknown,disordered_flexible,repeat/segmentation signals are mixed,6,0,0,holdout_078_disordered_or_mixed_order_01;holdout_079_disordered_or_mixed_order_01;holdout_083_disordered_or_mixed_order_02;holdout_084_disordered_or_mixed_order_02;holdout_088_disordered_or_mixed_order_03;holdout_089_disordered_or_mixed_order_03,current_safe_axis_stack
safe_axis_claimed,alpha_rich_soluble,small_70_139,global_chain,soluble_like,compact_single_domain,alpha_rich,ordered,repeat/segmentation signals are mixed,5,0,0,holdout_001_alpha_rich_soluble_01;holdout_002_alpha_rich_soluble_01;holdout_006_alpha_rich_soluble_02;holdout_007_alpha_rich_soluble_02;holdout_011_alpha_rich_soluble_03,current_safe_axis_stack
safe_axis_claimed,disordered_or_mixed_order,small_70_139,uncertain,unknown,unknown,weak_or_unknown,disordered_flexible,disorder-like segmentation pressure is too high,4,0,0,holdout_076_disordered_or_mixed_order_01;holdout_077_disordered_or_mixed_order_01;holdout_081_disordered_or_mixed_order_02;holdout_082_disordered_or_mixed_order_02,current_safe_axis_stack
safe_axis_claimed,membrane_like,small_70_139,global_chain,membrane_like,unknown,alpha_rich,ordered,membrane segmentation can reflect helices rather than global domains,3,0,0,holdout_061_membrane_like_01;holdout_066_membrane_like_02;holdout_071_membrane_like_03,current_safe_axis_stack
safe_axis_claimed,disordered_or_mixed_order,large_260_419,uncertain,unknown,unknown,weak_or_unknown,disordered_flexible,repeat/segmentation signals are mixed,3,0,0,holdout_080_disordered_or_mixed_order_01;holdout_085_disordered_or_mixed_order_02;holdout_090_disordered_or_mixed_order_03,current_safe_axis_stack
alpha_beta_boundary_ambiguity,architecture_stress,very_large_420_plus,global_chain,soluble_like,unknown,alpha_beta_mixed,ordered,repeat/segmentation signals are mixed,2,0,2,holdout_091_architecture_stress_like;holdout_092_architecture_stress_like,current_safe_axis_stack
architecture_axis_conflict,beta_rich,small_70_139,global_chain,soluble_like,compact_single_domain,beta_rich,ordered,,2,2,0,holdout_029_beta_rich_02;holdout_034_beta_rich_03,current_safe_axis_stack
order_axis_conflict,architecture_stress,medium_140_259,global_chain,soluble_like,repeat_like,alpha_beta_mixed,ordered,repeat/segmentation signals are mixed,2,2,0,holdout_093_architecture_stress_like;holdout_094_architecture_stress_like,current_safe_axis_stack
safe_axis_claimed,alpha_rich_soluble,medium_140_259,global_chain,soluble_like,compact_single_domain,alpha_rich,ordered,repeat/segmentation signals are mixed,2,0,0,holdout_004_alpha_rich_soluble_01;holdout_019_alpha_rich_soluble_04,current_safe_axis_stack
safe_axis_claimed,disordered_or_mixed_order,small_70_139,uncertain,unknown,unknown,weak_or_unknown,disordered_flexible,repeat/segmentation signals are mixed,2,0,0,holdout_086_disordered_or_mixed_order_03;holdout_087_disordered_or_mixed_order_03,current_safe_axis_stack
safe_axis_claimed,architecture_stress,large_260_419,global_chain,membrane_like,unknown,alpha_rich,ordered,membrane segmentation can reflect helices rather than global domains,2,0,0,holdout_097_architecture_stress_helices;holdout_098_architecture_stress_helices,current_safe_axis_stack
safe_axis_claimed,architecture_stress,short_fragment_under_70,solved_fragment,soluble_like,fragment_scope,alpha_rich,ordered,,2,0,0,holdout_099_architecture_stress_fragment;holdout_100_architecture_stress_fragment,current_safe_axis_stack
alpha_beta_boundary_ambiguity,alpha_beta_mixed,small_70_139,global_chain,soluble_like,compact_single_domain,alpha_beta_mixed,ordered,repeat/segmentation signals are mixed,1,0,1,holdout_052_alpha_beta_mixed_03,current_safe_axis_stack
beta_rich_low_complexity_confusion,architecture_stress,short_fragment_under_70,domain_fragment,soluble_like,fragment_scope,beta_rich,ordered,,1,0,0,holdout_095_architecture_stress_fragment,current_safe_axis_stack
disorder_folded_domain_mimic,alpha_rich_soluble,small_70_139,global_chain,soluble_like,compact_single_domain,alpha_rich,ordered,repeat/segmentation signals are mixed,1,0,1,holdout_016_alpha_rich_soluble_04,current_safe_axis_stack
fragment_scope_over_abstention,architecture_stress,small_70_139,domain_fragment,soluble_like,fragment_scope,beta_rich,ordered,short sequence did not clear fragment-scope confidence,1,0,1,holdout_096_architecture_stress_fragment,current_safe_axis_stack
