protein_id,raw_motif_predicted_fold_class,predicted_fold_class,structure_fold_class,disorder_gate_score,compactness_gate_score,segmentation_gate_score,secondary_structure_gate_score,gate_path,gate_decision_reason,forced_prediction,abstained
pdb_1MBN_A_myoglobin,alpha_beta_mixed,alpha_rich,alpha_rich,0.107627,0.534282,0.39022,0.46884,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:alpha_periodic_compact | confidence_gate:forced_low_claim_strength,"alpha interpretation requires local alpha pressure, periodic support, compact core, and limited disorder pressure",True,False
pdb_2LZM_A_t4_lysozyme,alpha_beta_mixed,alpha_rich,alpha_rich,0.058757,0.554621,0.370638,0.440554,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:alpha_periodic_compact | confidence_gate:forced_low_claim_strength,"alpha interpretation requires local alpha pressure, periodic support, compact core, and limited disorder pressure",True,False
pdb_1FLP_A_hemoglobin_i,alpha_rich,alpha_rich,alpha_rich,0.159581,0.516127,0.327677,0.446381,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:forced_low_claim_strength,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention,True,False
pdb_1R69_A_lambda_repressor_ntd,multidomain_boundary,insufficient_topology_evidence,alpha_rich,0.269825,0.330653,0.22781,0.32809,disorder_gate:foldable_not_ruled_out | compactness_gate:weak_closure_abstain | segmentation_gate:not_evaluated | secondary_structure_gate:not_evaluated | confidence_gate:abstained,compactness and closure are too weak to force a fold class,False,True
pdb_2MHR_A_myohemerythrin,alpha_beta_mixed,insufficient_topology_evidence,alpha_rich,0.04677,0.60617,0.399506,0.467235,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:mixed_supported_but_weak | confidence_gate:abstained_low_decision_margin,"mixed alpha/beta evidence exists, but the confidence gate must decide whether the local signals are stable enough; confidence gate abstained on low decision margin",False,True
pdb_1CYO_A_cytochrome_c2,alpha_beta_mixed,insufficient_topology_evidence,alpha_beta_mixed,0.203298,0.423907,0.296198,0.344199,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin,False,True
pdb_1ROP_A_rop_protein,alpha_beta_mixed,alpha_rich,multidomain_boundary,0.0,0.626657,0.431048,0.521185,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:alpha_periodic_compact | confidence_gate:forced_low_claim_strength,"alpha interpretation requires local alpha pressure, periodic support, compact core, and limited disorder pressure",True,False
pdb_1GAB_A_albumin_binding_domain,alpha_beta_mixed,alpha_rich,alpha_rich,0.0,0.736814,0.466959,0.574573,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:alpha_periodic_compact | confidence_gate:forced_low_claim_strength,"alpha interpretation requires local alpha pressure, periodic support, compact core, and limited disorder pressure",True,False
pdb_256B_A_cytochrome_b562,alpha_rich,alpha_rich,alpha_rich,0.065965,0.577447,0.382941,0.494223,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:alpha_periodic_compact | confidence_gate:forced_low_claim_strength,"alpha interpretation requires local alpha pressure, periodic support, compact core, and limited disorder pressure",True,False
pdb_1CUN_A_alpha_spectrin_repeat,alpha_beta_mixed,multidomain_boundary,multidomain_boundary,0.050487,0.54389,0.417053,0.424102,disorder_gate:foldable_candidate | compactness_gate:compact_closure_supported | segmentation_gate:folded_multidomain_supported | secondary_structure_gate:skipped_by_segmentation_gate | confidence_gate:forced_low_claim_strength,domain-boundary evidence is treated as folded multidomain only because compact core and long-range closure are also present,True,False
pdb_1TEN_A_tenascin_fn3,beta_rich,beta_rich,beta_rich,0.192208,0.426053,0.291219,0.378954,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:beta_pairing_supported | confidence_gate:forced_low_claim_strength,beta interpretation requires alternation plus local beta pressure and sheet/contact-pairing support,True,False
pdb_1CSP_A_cold_shock_protein,beta_rich,insufficient_topology_evidence,beta_rich,0.282224,0.443489,0.241576,0.323702,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin,False,True
pdb_1SHG_A_src_sh3_domain,alpha_beta_mixed,insufficient_topology_evidence,beta_rich,0.121044,0.580753,0.373086,0.417035,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:mixed_supported_but_weak | confidence_gate:abstained_low_decision_margin,"mixed alpha/beta evidence exists, but the confidence gate must decide whether the local signals are stable enough; confidence gate abstained on low decision margin",False,True
pdb_1TIT_A_titin_i27,beta_rich,insufficient_topology_evidence,beta_rich,0.147469,0.529571,0.368118,0.403948,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:mixed_supported_but_weak | confidence_gate:abstained_low_decision_margin,"mixed alpha/beta evidence exists, but the confidence gate must decide whether the local signals are stable enough; confidence gate abstained on low decision margin",False,True
pdb_2PTL_A_protein_l_domain,alpha_beta_mixed,insufficient_topology_evidence,beta_rich,0.143579,0.464871,0.280294,0.373087,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin,False,True
pdb_1FNA_A_fibronectin_type_iii,beta_rich,beta_rich,beta_rich,0.231012,0.447033,0.290061,0.385223,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:beta_pairing_supported | confidence_gate:forced_low_claim_strength,beta interpretation requires alternation plus local beta pressure and sheet/contact-pairing support,True,False
pdb_1IGD_A_immunoglobulin_domain,beta_rich,multidomain_boundary,alpha_beta_mixed,0.1269,0.529121,0.437747,0.420421,disorder_gate:foldable_candidate | compactness_gate:compact_closure_supported | segmentation_gate:folded_multidomain_supported | secondary_structure_gate:skipped_by_segmentation_gate | confidence_gate:forced_low_claim_strength,domain-boundary evidence is treated as folded multidomain only because compact core and long-range closure are also present,True,False
pdb_1BFG_A_basic_fgf,multidomain_boundary,disordered_flexible,beta_rich,0.323989,0.354999,0.240487,0.241577,disorder_gate:disordered_or_flexible | compactness_gate:not_compact_enough_for_folded_domain | segmentation_gate:flexible_segmentation_not_multidomain | secondary_structure_gate:skipped_by_disorder_gate | confidence_gate:forced_low_claim_strength,disorder pressure and breaker/turn evidence are prioritized over secondary-structure interpretation because compact closure is weak,True,False
