version,role,certificate_path,status,supports_claim_level,claim_use,notes
V32,pipeline audit,/Users/draganamitova/My Projects/pharmacotopology/first_contact_clean_pharmacotopology_layer_run/V32_EXTERNAL_CONSTRAINT_SOURCE_IMPORT_PREFLIGHT/v32_external_constraint_source_import_preflight_certificate.json,V32_EXTERNAL_CONSTRAINT_SOURCE_IMPORT_PREFLIGHT_READY_FOR_V33_CLAIM_DISABLED,C1_CLEAN_EVIDENCE_PIPELINE,audit_only,External source preflight passed/abstained; coordinate imports are not used for non-coordinate claim support.
V33_READOUT,pipeline audit,/Users/draganamitova/My Projects/pharmacotopology/first_contact_clean_pharmacotopology_layer_run/V33_CONSTRAINT_BACKED_OPERATOR_READOUT/v33_constraint_backed_operator_readout_certificate.json,V33_CONSTRAINT_BACKED_OPERATOR_READOUT_v0,C1_CLEAN_EVIDENCE_PIPELINE,audit_only,Operator readout remained claim-disabled.
V33_NEGATIVE,pipeline audit,/Users/draganamitova/My Projects/pharmacotopology/first_contact_clean_pharmacotopology_layer_run/V33_NEGATIVE_CONTROLS/v33_negative_controls_certificate.json,V33_NEGATIVE_CONTROLS_v0,C1_CLEAN_EVIDENCE_PIPELINE,audit_only,Negative controls passed.
V34,pipeline audit,/Users/draganamitova/My Projects/pharmacotopology/first_contact_clean_pharmacotopology_layer_run/V34_KCSA_DISCRIMINATIVE_CONTENT_CONTROLS/v34_kcsa_discriminative_content_controls_certificate.json,V34_KCSA_DISCRIMINATIVE_CONTENT_CONTROLS_PASSED_CLAIM_DISABLED,C1_CLEAN_EVIDENCE_PIPELINE,audit_only,Discriminative content controls passed.
V35,guardrail,/Users/draganamitova/My Projects/pharmacotopology/first_contact_clean_pharmacotopology_layer_run/V35_NONCOORDINATE_EVOLUTIONARY_HOLDOUT/v35_noncoordinate_evolutionary_holdout_certificate.json,V35_CLEAN_ABSTAIN_NO_NONCOORDINATE_EXTERNAL_EVIDENCE,none_positive,abstain_guardrail,Clean abstain is not positive evidence.
V36,claim support,/Users/draganamitova/My Projects/pharmacotopology/first_contact_clean_pharmacotopology_layer_run/V36_REAL_EVIDENCE_DOSSIER_GATE/v36_real_evidence_dossier_gate_certificate.json,V36_REAL_EVIDENCE_DOSSIERS_READY_CLAIM_DISABLED,C2_MECHANISM_GRAMMAR_CLASSIFICATION,noncoordinate_claim_support,Real non-coordinate dossiers built.
V37,claim support,/Users/draganamitova/My Projects/pharmacotopology/first_contact_clean_pharmacotopology_layer_run/V37_MECHANISM_QUESTION_PROBES/v37_mechanism_question_probes_certificate.json,V37_MECHANISM_QUESTION_PROBES_PASSED_CLAIM_DISABLED,C2_MECHANISM_GRAMMAR_CLASSIFICATION,noncoordinate_claim_support,Mechanism classes assigned under target-name masking.
V38,claim support,/Users/draganamitova/My Projects/pharmacotopology/first_contact_clean_pharmacotopology_layer_run/V38_BLIND_MECHANISM_GENERALIZATION_PANEL/v38_blind_mechanism_generalization_panel_certificate.json,V38_BLIND_MECHANISM_GENERALIZATION_PASSED_CLAIM_DISABLED,C2_MECHANISM_GRAMMAR_CLASSIFICATION,noncoordinate_claim_support,Masked and decoy-controlled mechanism generalization audit.
V39,claim support,/Users/draganamitova/My Projects/pharmacotopology/first_contact_clean_pharmacotopology_layer_run/V39_MECHANISM_TO_FALSIFIABLE_PREDICTION_VALIDATION/v39_mechanism_to_falsifiable_prediction_validation_certificate.json,V39_MECHANISM_PREDICTIONS_VALIDATED_CLAIM_DISABLED,C3_FALSIFIABLE_OPERATOR_MECHANISM,noncoordinate_claim_support,Falsifiable operator predictions supported by independent holdouts.
V40,claim support,/Users/draganamitova/My Projects/pharmacotopology/first_contact_clean_pharmacotopology_layer_run/V40_MECHANISM_PERTURBATION_PRESSURE_TESTS/v40_mechanism_perturbation_pressure_tests_certificate.json,V40_MECHANISM_PERTURBATION_PRESSURE_PASSED_CLAIM_DISABLED,C3_FALSIFIABLE_OPERATOR_MECHANISM,noncoordinate_claim_support,Perturbation pressure operators supported by independent holdouts.
