row_id,baseline_failure_mechanism,repaired_failure_mechanism,baseline_native_cluster_miss_count,repaired_native_cluster_miss_count,baseline_false_contact_cluster_count,repaired_false_contact_cluster_count,baseline_missed_native_contact_clusters,repaired_missed_native_contact_clusters,baseline_false_predicted_contact_clusters,repaired_false_predicted_contact_clusters,baseline_closure_timing_label,repaired_closure_timing_label,baseline_premature_compaction,repaired_premature_compaction,baseline_beta_pairing_contact_recall,repaired_beta_pairing_contact_recall
visual_001_alpha_rop,visible_partial_success,visible_partial_success,5,3,7,8,missed_native_01:n=4:short_range:8.5-12.5;missed_native_02:n=1:medium_range:6.0-26.0;missed_native_03:n=4:short_range:22.5-26.5;missed_native_04:n=1:medium_range:24.0-44.0;missed_native_05:n=11:short_range:46.3-50.3,missed_native_01:n=4:short_range:8.5-12.5;missed_native_02:n=4:short_range:22.5-26.5;missed_native_03:n=11:short_range:46.3-50.3,false_predicted_01:n=1:long_range:2.0-38.0;false_predicted_02:n=8:short_range:15.5-19.5;false_predicted_03:n=4:medium_range:14.5-37.5;false_predicted_04:n=6:long_range:14.5-52.3;false_predicted_05:n=2:medium_range:37.5-56.0;false_predicted_06:n=1:short_range:44.0-48.0;false_predicted_07:n=1:short_range:50.0-54.0,false_predicted_01:n=1:long_range:2.0-38.0;false_predicted_02:n=8:short_range:15.5-19.5;false_predicted_03:n=5:medium_range:14.0-37.2;false_predicted_04:n=6:long_range:14.5-52.3;false_predicted_05:n=2:medium_range:37.5-56.0;false_predicted_06:n=1:medium_range:42.0-62.0;false_predicted_07:n=1:short_range:44.0-48.0;false_predicted_08:n=1:short_range:50.0-54.0,early_native_closure,early_native_closure,False,False,,
visual_002_alpha_gab,visible_partial_success,visible_partial_success,6,4,6,7,missed_native_01:n=1:short_range:3.0-7.0;missed_native_02:n=1:medium_range:6.0-26.0;missed_native_03:n=5:short_range:15.8-19.8;missed_native_04:n=1:medium_range:24.0-44.0;missed_native_05:n=1:short_range:27.0-31.0;missed_native_06:n=1:short_range:41.0-45.0,missed_native_01:n=1:short_range:3.0-7.0;missed_native_02:n=5:short_range:15.8-19.8;missed_native_03:n=1:short_range:27.0-31.0;missed_native_04:n=1:short_range:41.0-45.0,false_predicted_01:n=6:long_range:4.0-27.8;false_predicted_02:n=7:short_range:10.0-14.0;false_predicted_03:n=1:long_range:5.0-41.0;false_predicted_04:n=1:medium_range:28.0-48.0;false_predicted_05:n=2:short_range:38.0-42.0;false_predicted_06:n=1:short_range:49.0-53.0,false_predicted_01:n=6:long_range:4.0-27.8;false_predicted_02:n=7:short_range:10.0-14.0;false_predicted_03:n=1:long_range:5.0-41.0;false_predicted_04:n=1:long_range:12.0-36.0;false_predicted_05:n=1:medium_range:28.0-48.0;false_predicted_06:n=2:short_range:38.0-42.0;false_predicted_07:n=1:short_range:49.0-53.0,mid_native_closure,mid_native_closure,False,False,,
visual_003_alpha_cytochrome,visible_partial_success,visible_partial_success,11,7,15,17,missed_native_01:n=3:short_range:3.7-7.7;missed_native_02:n=1:medium_range:6.0-26.0;missed_native_03:n=1:short_range:13.0-17.0;missed_native_04:n=3:short_range:23.0-27.0;missed_native_05:n=1:medium_range:24.0-44.0;missed_native_06:n=8:short_range:41.0-45.0;missed_native_07:n=1:medium_range:42.0-62.0;missed_native_08:n=6:short_range:63.0-67.0;missed_native_09:n=1:medium_range:60.0-80.0;missed_native_10:n=2:short_range:77.0-81.0;missed_native_11:n=1:short_range:85.0-89.0,missed_native_01:n=3:short_range:3.7-7.7;missed_native_02:n=1:short_range:13.0-17.0;missed_native_03:n=3:short_range:23.0-27.0;missed_native_04:n=8:short_range:41.0-45.0;missed_native_05:n=6:short_range:63.0-67.0;missed_native_06:n=2:short_range:77.0-81.0;missed_native_07:n=1:short_range:85.0-89.0,false_predicted_01:n=9:medium_range:5.9-26.8;false_predicted_02:n=4:long_range:6.0-58.8;false_predicted_03:n=5:long_range:6.0-74.6;false_predicted_04:n=2:long_range:6.5-35.0;false_predicted_05:n=1:long_range:7.0-45.0;false_predicted_06:n=1:long_range:7.0-87.0;false_predicted_07:n=1:short_range:10.0-14.0;false_predicted_08:n=1:medium_range:12.0-30.0;false_predicted_09:n=1:long_range:12.0-58.0;false_predicted_10:n=1:long_range:12.0-74.0;false_predicted_11:n=5:long_range:26.0-58.6;false_predicted_12:n=7:long_range:26.0-74.7;false_predicted_13:n=1:medium_range:27.0-45.0;false_predicted_14:n=1:long_range:27.0-87.0;false_predicted_15:n=1:short_range:28.0-32.0,false_predicted_01:n=9:medium_range:5.9-26.8;false_predicted_02:n=4:long_range:6.0-58.8;false_predicted_03:n=5:long_range:6.0-74.6;false_predicted_04:n=2:long_range:6.5-35.0;false_predicted_05:n=1:long_range:7.0-45.0;false_predicted_06:n=1:long_range:7.0-87.0;false_predicted_07:n=1:short_range:10.0-14.0;false_predicted_08:n=1:medium_range:12.0-30.0;false_predicted_09:n=1:long_range:12.0-36.0;false_predicted_10:n=1:long_range:12.0-58.0;false_predicted_11:n=1:long_range:12.0-74.0;false_predicted_12:n=5:long_range:26.0-58.6;false_predicted_13:n=7:long_range:26.0-74.7;false_predicted_14:n=1:medium_range:27.0-45.0;false_predicted_15:n=1:long_range:27.0-87.0;false_predicted_16:n=1:short_range:28.0-32.0;false_predicted_17:n=1:long_range:50.0-74.0,early_native_closure,early_native_closure,True,False,,
visual_004_beta_csp,bad_beta_pairing,visible_partial_success,7,0,10,12,missed_native_01:n=6:medium_range:6.5-18.5;missed_native_02:n=1:long_range:5.0-31.0;missed_native_03:n=5:short_range:18.8-31.2;missed_native_04:n=1:long_range:20.0-46.0;missed_native_05:n=6:medium_range:31.5-44.5;missed_native_06:n=1:long_range:35.0-61.0;missed_native_07:n=6:medium_range:44.5-57.5,,false_predicted_01:n=2:short_range:2.0-6.0;false_predicted_02:n=8:medium_range:8.1-28.9;false_predicted_03:n=3:long_range:7.7-38.0;false_predicted_04:n=5:long_range:8.6-49.6;false_predicted_05:n=1:long_range:9.0-63.0;false_predicted_06:n=1:medium_range:15.0-33.0;false_predicted_07:n=3:medium_range:16.7-38.0;false_predicted_08:n=6:long_range:16.0-49.0;false_predicted_09:n=2:long_range:16.0-63.0;false_predicted_10:n=1:short_range:19.0-23.0,false_predicted_01:n=2:short_range:2.0-6.0;false_predicted_02:n=19:medium_range:10.2-32.9;false_predicted_03:n=5:long_range:8.6-49.6;false_predicted_04:n=1:long_range:9.0-63.0;false_predicted_05:n=1:short_range:10.0-15.0;false_predicted_06:n=6:long_range:16.0-49.0;false_predicted_07:n=2:long_range:16.0-63.0;false_predicted_08:n=1:short_range:19.0-23.0;false_predicted_09:n=1:medium_range:24.0-44.0;false_predicted_10:n=1:long_range:30.0-58.0;false_predicted_11:n=1:short_range:35.0-41.0;false_predicted_12:n=2:medium_range:41.5-61.5,late_native_closure,mid_native_closure,True,False,0.111111,1.0
visual_005_beta_sh3,bad_beta_pairing,visible_partial_success,6,0,12,16,missed_native_01:n=6:medium_range:6.5-18.5;missed_native_02:n=1:long_range:5.0-31.0;missed_native_03:n=6:medium_range:18.5-31.5;missed_native_04:n=1:long_range:20.0-46.0;missed_native_05:n=6:medium_range:31.5-44.5;missed_native_06:n=6:medium_range:44.5-57.5,,false_predicted_01:n=5:short_range:7.2-11.2;false_predicted_02:n=5:long_range:13.0-41.4;false_predicted_03:n=7:long_range:13.3-54.4;false_predicted_04:n=4:short_range:19.5-23.5;false_predicted_05:n=1:medium_range:23.0-41.0;false_predicted_06:n=1:long_range:23.0-57.0;false_predicted_07:n=1:short_range:27.0-31.0;false_predicted_08:n=1:medium_range:30.0-52.0;false_predicted_09:n=1:short_range:39.0-43.0;false_predicted_10:n=2:medium_range:41.5-57.5;false_predicted_11:n=1:short_range:45.0-49.0;false_predicted_12:n=2:short_range:55.5-59.5,false_predicted_01:n=6:short_range:7.7-11.8;false_predicted_02:n=1:medium_range:6.0-26.0;false_predicted_03:n=3:long_range:11.7-35.7;false_predicted_04:n=5:long_range:13.0-41.4;false_predicted_05:n=7:long_range:13.3-54.4;false_predicted_06:n=4:short_range:19.5-23.5;false_predicted_07:n=2:medium_range:23.5-42.5;false_predicted_08:n=1:long_range:23.0-57.0;false_predicted_09:n=1:short_range:27.0-31.0;false_predicted_10:n=1:medium_range:30.0-52.0;false_predicted_11:n=1:long_range:30.0-58.0;false_predicted_12:n=2:short_range:37.0-42.0;false_predicted_13:n=1:long_range:35.0-61.0;false_predicted_14:n=4:medium_range:41.5-59.5;false_predicted_15:n=1:short_range:45.0-49.0;false_predicted_16:n=2:short_range:55.5-59.5,no_native_contact_overlap,mid_native_closure,True,False,0.0,1.0
visual_006_beta_protein_l,bad_beta_pairing,visible_partial_success,7,0,15,16,missed_native_01:n=6:medium_range:6.5-18.5;missed_native_02:n=1:long_range:5.0-31.0;missed_native_03:n=6:medium_range:18.5-31.5;missed_native_04:n=1:long_range:20.0-46.0;missed_native_05:n=6:medium_range:31.5-44.5;missed_native_06:n=1:long_range:35.0-61.0;missed_native_07:n=6:medium_range:44.5-57.5,,false_predicted_01:n=2:short_range:2.5-6.5;false_predicted_02:n=1:short_range:11.0-15.0;false_predicted_03:n=1:short_range:17.0-21.0;false_predicted_04:n=4:medium_range:19.0-38.0;false_predicted_05:n=4:long_range:19.0-49.0;false_predicted_06:n=2:long_range:19.0-70.0;false_predicted_07:n=2:long_range:19.0-76.0;false_predicted_08:n=2:long_range:25.5-61.0;false_predicted_09:n=2:long_range:26.0-49.0;false_predicted_10:n=3:long_range:26.0-73.3;false_predicted_11:n=2:long_range:38.0-61.0;false_predicted_12:n=6:long_range:38.0-73.3;false_predicted_13:n=1:short_range:37.0-41.0;false_predicted_14:n=3:short_range:44.0-48.0;false_predicted_15:n=4:long_range:48.5-72.5,false_predicted_01:n=2:short_range:2.5-6.5;false_predicted_02:n=1:long_range:8.0-36.0;false_predicted_03:n=2:short_range:10.5-15.0;false_predicted_04:n=5:medium_range:18.2-37.4;false_predicted_05:n=1:short_range:17.0-21.0;false_predicted_06:n=4:long_range:19.0-49.0;false_predicted_07:n=2:long_range:19.0-70.0;false_predicted_08:n=2:long_range:19.0-76.0;false_predicted_09:n=3:long_range:27.0-60.0;false_predicted_10:n=2:long_range:26.0-49.0;false_predicted_11:n=3:long_range:26.0-73.3;false_predicted_12:n=2:short_range:36.0-41.0;false_predicted_13:n=3:medium_range:39.0-61.0;false_predicted_14:n=6:long_range:38.0-73.3;false_predicted_15:n=3:short_range:44.0-48.0;false_predicted_16:n=4:long_range:48.5-72.5,no_native_contact_overlap,mid_native_closure,True,False,0.0,1.0
visual_007_mixed_protein_g,bad_beta_pairing,bad_beta_pairing,4,3,10,11,missed_native_01:n=6:short_range:9.5-13.5;missed_native_02:n=1:long_range:8.0-36.0;missed_native_03:n=6:medium_range:21.0-33.3;missed_native_04:n=5:medium_range:34.0-48.0,missed_native_01:n=6:short_range:9.5-13.5;missed_native_02:n=6:medium_range:21.0-33.3;missed_native_03:n=5:medium_range:34.0-48.0,false_predicted_01:n=1:short_range:1.0-5.0;false_predicted_02:n=1:medium_range:3.0-21.0;false_predicted_03:n=5:long_range:4.2-31.0;false_predicted_04:n=3:long_range:3.0-42.3;false_predicted_05:n=4:long_range:4.5-53.0;false_predicted_06:n=2:short_range:17.0-21.0;false_predicted_07:n=3:medium_range:21.0-42.3;false_predicted_08:n=3:short_range:26.3-30.3;false_predicted_09:n=1:medium_range:29.0-45.0;false_predicted_10:n=3:medium_range:31.0-52.7,false_predicted_01:n=1:short_range:1.0-5.0;false_predicted_02:n=8:medium_range:6.5-18.4;false_predicted_03:n=6:long_range:4.3-31.0;false_predicted_04:n=3:long_range:3.0-42.3;false_predicted_05:n=4:long_range:4.5-53.0;false_predicted_06:n=2:short_range:17.0-21.0;false_predicted_07:n=10:short_range:20.5-31.5;false_predicted_08:n=4:long_range:20.8-43.2;false_predicted_09:n=8:medium_range:31.6-44.1;false_predicted_10:n=3:medium_range:31.0-52.7;false_predicted_11:n=2:short_range:46.5-55.5,mid_native_closure,mid_native_closure,True,True,0.0,0.25
visual_008_mixed_ubiquitin,bad_beta_pairing,premature_compaction,6,4,13,14,missed_native_01:n=2:short_range:6.5-10.5;missed_native_02:n=1:long_range:8.0-36.0;missed_native_03:n=5:short_range:20.0-24.0;missed_native_04:n=7:short_range:28.9-40.0;missed_native_05:n=1:long_range:30.0-58.0;missed_native_06:n=5:medium_range:41.0-55.0,missed_native_01:n=2:short_range:6.5-10.5;missed_native_02:n=5:short_range:20.0-24.0;missed_native_03:n=7:short_range:28.9-40.0;missed_native_04:n=5:medium_range:41.0-55.0,false_predicted_01:n=4:medium_range:4.0-25.5;false_predicted_02:n=4:long_range:4.0-44.8;false_predicted_03:n=5:long_range:4.0-59.8;false_predicted_04:n=1:long_range:4.0-36.0;false_predicted_05:n=1:long_range:4.0-70.0;false_predicted_06:n=2:long_range:15.0-45.0;false_predicted_07:n=4:long_range:15.0-60.0;false_predicted_08:n=1:medium_range:23.0-45.0;false_predicted_09:n=1:long_range:23.0-59.0;false_predicted_10:n=2:short_range:25.5-29.5;false_predicted_11:n=3:short_range:46.0-50.0;false_predicted_12:n=2:medium_range:45.0-60.0;false_predicted_13:n=5:short_range:66.2-70.2,false_predicted_01:n=13:medium_range:5.8-21.9;false_predicted_02:n=4:long_range:4.0-44.8;false_predicted_03:n=5:long_range:4.0-59.8;false_predicted_04:n=1:long_range:4.0-36.0;false_predicted_05:n=1:long_range:4.0-70.0;false_predicted_06:n=10:short_range:18.9-31.9;false_predicted_07:n=5:long_range:19.4-45.0;false_predicted_08:n=4:long_range:15.0-60.0;false_predicted_09:n=1:long_range:23.0-59.0;false_predicted_10:n=7:short_range:32.0-44.0;false_predicted_11:n=1:long_range:35.0-61.0;false_predicted_12:n=13:medium_range:44.5-56.8;false_predicted_13:n=1:long_range:50.0-74.0;false_predicted_14:n=5:short_range:66.2-70.2,early_native_closure,early_native_closure,True,True,0.0,0.5
visual_009_mixed_ci2,visible_partial_success,visible_partial_success,7,5,21,22,missed_native_01:n=4:short_range:6.5-10.5;missed_native_02:n=1:long_range:8.0-36.0;missed_native_03:n=1:short_range:20.0-24.0;missed_native_04:n=9:short_range:31.0-40.6;missed_native_05:n=1:long_range:30.0-58.0;missed_native_06:n=5:medium_range:43.0-57.0;missed_native_07:n=1:long_range:52.0-80.0,missed_native_01:n=4:short_range:6.5-10.5;missed_native_02:n=1:short_range:20.0-24.0;missed_native_03:n=9:short_range:31.0-40.6;missed_native_04:n=5:medium_range:43.0-57.0;missed_native_05:n=1:long_range:52.0-80.0,false_predicted_01:n=1:long_range:3.0-39.0;false_predicted_02:n=5:long_range:3.0-56.6;false_predicted_03:n=1:long_range:3.0-69.0;false_predicted_04:n=1:long_range:3.0-79.0;false_predicted_05:n=1:short_range:4.0-8.0;false_predicted_06:n=2:medium_range:10.0-30.0;false_predicted_07:n=1:long_range:10.0-38.0;false_predicted_08:n=1:long_range:10.0-48.0;false_predicted_09:n=2:long_range:24.0-49.0;false_predicted_10:n=1:long_range:24.0-56.0;false_predicted_11:n=1:long_range:24.0-61.0;false_predicted_12:n=3:long_range:24.0-68.3;false_predicted_13:n=1:long_range:24.0-76.0;false_predicted_14:n=1:long_range:24.0-82.0;false_predicted_15:n=7:short_range:38.1-42.1;false_predicted_16:n=1:medium_range:39.0-61.0;false_predicted_17:n=1:long_range:39.0-69.0;false_predicted_18:n=2:medium_range:51.0-69.0;false_predicted_19:n=1:medium_range:61.0-79.0;false_predicted_20:n=1:short_range:68.0-72.0;false_predicted_21:n=2:short_range:75.0-79.0,false_predicted_01:n=1:long_range:3.0-39.0;false_predicted_02:n=5:long_range:3.0-56.6;false_predicted_03:n=1:long_range:3.0-69.0;false_predicted_04:n=1:long_range:3.0-79.0;false_predicted_05:n=1:short_range:4.0-8.0;false_predicted_06:n=7:short_range:7.0-18.0;false_predicted_07:n=1:long_range:5.0-31.0;false_predicted_08:n=12:medium_range:14.5-32.0;false_predicted_09:n=1:long_range:10.0-48.0;false_predicted_10:n=4:long_range:23.0-47.0;false_predicted_11:n=1:long_range:24.0-56.0;false_predicted_12:n=1:long_range:24.0-61.0;false_predicted_13:n=3:long_range:24.0-68.3;false_predicted_14:n=1:long_range:24.0-76.0;false_predicted_15:n=1:long_range:24.0-82.0;false_predicted_16:n=24:short_range:38.1-49.7;false_predicted_17:n=1:long_range:39.0-69.0;false_predicted_18:n=2:medium_range:51.0-69.0;false_predicted_19:n=1:long_range:50.0-74.0;false_predicted_20:n=2:medium_range:60.5-79.5;false_predicted_21:n=1:short_range:68.0-72.0;false_predicted_22:n=2:short_range:75.0-79.0,early_native_closure,early_native_closure,True,True,0.0,0.285714
visual_010_disorder_nupr1,disorder_over_collapse,disorder_over_collapse,3,3,17,17,missed_native_01:n=1:short_range:8.0-15.0;missed_native_02:n=1:short_range:32.0-39.0;missed_native_03:n=1:short_range:56.0-63.0,missed_native_01:n=1:short_range:8.0-15.0;missed_native_02:n=1:short_range:32.0-39.0;missed_native_03:n=1:short_range:56.0-63.0,false_predicted_01:n=3:short_range:5.0-9.0;false_predicted_02:n=4:long_range:4.8-67.5;false_predicted_03:n=2:long_range:6.0-30.0;false_predicted_04:n=2:long_range:6.0-36.0;false_predicted_05:n=2:long_range:6.0-46.0;false_predicted_06:n=2:long_range:6.0-54.0;false_predicted_07:n=1:short_range:20.0-24.0;false_predicted_08:n=2:short_range:31.0-35.0;false_predicted_09:n=1:medium_range:30.0-46.0;false_predicted_10:n=1:long_range:30.0-54.0;false_predicted_11:n=2:long_range:30.0-67.5;false_predicted_12:n=1:medium_range:36.0-54.0;false_predicted_13:n=2:long_range:36.0-67.5;false_predicted_14:n=5:short_range:47.0-51.0;false_predicted_15:n=1:medium_range:46.0-68.0;false_predicted_16:n=1:medium_range:54.0-68.0;false_predicted_17:n=9:short_range:71.0-75.0,false_predicted_01:n=3:short_range:5.0-9.0;false_predicted_02:n=4:long_range:4.8-67.5;false_predicted_03:n=2:long_range:6.0-30.0;false_predicted_04:n=2:long_range:6.0-36.0;false_predicted_05:n=2:long_range:6.0-46.0;false_predicted_06:n=2:long_range:6.0-54.0;false_predicted_07:n=1:short_range:20.0-24.0;false_predicted_08:n=2:short_range:31.0-35.0;false_predicted_09:n=1:medium_range:30.0-46.0;false_predicted_10:n=1:long_range:30.0-54.0;false_predicted_11:n=2:long_range:30.0-67.5;false_predicted_12:n=1:medium_range:36.0-54.0;false_predicted_13:n=2:long_range:36.0-67.5;false_predicted_14:n=5:short_range:47.0-51.0;false_predicted_15:n=1:medium_range:46.0-68.0;false_predicted_16:n=1:medium_range:54.0-68.0;false_predicted_17:n=9:short_range:71.0-75.0,no_native_contact_overlap,no_native_contact_overlap,True,True,,
